Unnamed: 0,TAM,CAR
First Downs,20,15
Rush-Yds-TDs,28-62-0,25-112-0
Cmp-Att-Yd-TD-INT,27-39-347-2-1,14-21-213-2-1
Sacked-Yards,2-11,4-25
Net Pass Yards,336,188
Total Yards,398,300
Fumbles-Lost,4-2,0-0
Turnovers,3,1
Penalties-Yards,7-40,5-50
Third Down Conv.,10-16,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:43,26:17
