Quarter,Time,Tm,Detail,TAM,CAR
1.0,9:23,Panthers,Keary Colbert 24 yard pass from Jake Delhomme (Jeff Chandler kick),0,7
2.0,1:55,Buccaneers,Michael Pittman 6 yard pass from Brian Griese (Martin Gramatica kick),7,7
3.0,8:37,Panthers,Julius Peppers 46 yard interception return (Jeff Chandler kick),7,14
4.0,6:42,Buccaneers,Michael Pittman 8 yard pass from Brian Griese (Martin Gramatica kick),14,14
,0:20,Panthers,Keary Colbert 40 yard pass from Jake Delhomme (Jeff Chandler kick),14,21
