Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
1,9:05,1,10,ARI 18,0,0,"James Conner up the middle for no gain (tackle by Alohi Gilman and Derwin James). Penalty on Billy Price: Offensive Holding, 9 yards (accepted) (no play)",0.040,-0.720
1,8:42,1,19,ARI 9,0,0,Kyler Murray scrambles left end for 11 yards (tackle by Michael Davis),-0.720,-0.130
1,8:10,2,8,ARI 20,0,0,Kyler Murray pass complete short left to Robbie Anderson for 17 yards (tackle by Derwin James),-0.130,1.400
1,7:24,1,10,ARI 37,0,0,James Conner left end for 8 yards (tackle by Michael Davis and Alohi Gilman),1.400,1.940
1,6:50,2,2,ARI 45,0,0,James Conner up the middle for 6 yards (tackle by Drue Tranquill),1.940,2.320
1,6:16,1,10,LAC 49,0,0,Kyler Murray right end for 7 yards (tackle by Kyle Van Noy),2.320,2.730
1,5:37,2,3,LAC 42,0,0,James Conner up the middle for -1 yards (tackle by Khalil Mack and Kenneth Murray),2.730,1.880
1,4:57,3,4,LAC 43,0,0,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Alohi Gilman),1.880,3.050
1,4:15,1,10,LAC 38,0,0,Kyler Murray pass complete short left to Marquise Brown for no gain (tackle by Alohi Gilman and Derwin James),3.050,2.510
1,3:28,2,10,LAC 38,0,0,Kyler Murray pass complete short right to A.J. Green for 5 yards (tackle by Asante Samuel),2.510,2.480
1,2:41,3,5,LAC 33,0,6,"Kyler Murray pass complete short middle to DeAndre Hopkins for 33 yards, touchdown. Penalty on Drue Tranquill: Defensive Offside, 5 yards (declined)",2.480,7.000
1,2:33,,,LAC 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,2:33,,,ARI 35,0,7,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,2:33,1,10,LAC 25,0,7,Austin Ekeler up the middle for -2 yards (tackle by Trysten Hill),0.610,-0.210
1,2:15,2,12,LAC 23,0,7,Justin Herbert pass incomplete short middle intended for Austin Ekeler,-0.210,-0.820
1,2:08,3,12,LAC 24,0,7,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",-0.820,-1.720
1,2:08,3,17,LAC 18,0,7,Justin Herbert pass incomplete short left intended for Joshua Kelley,-1.720,-2.240
1,2:03,4,17,LAC 18,0,7,"JK Scott punts 41 yards, returned by Pharoh Cooper for 15 yards (tackle by Deane Leonard)",-2.240,-2.650
1,1:51,1,10,LAC 44,0,7,James Conner right tackle for 8 yards (tackle by Asante Samuel and Drue Tranquill),2.650,3.190
1,1:10,2,2,LAC 36,0,7,James Conner up the middle for no gain (tackle by Morgan Fox),3.190,2.480
1,0:26,3,2,LAC 36,0,7,James Conner right guard for 7 yards (tackle by Michael Davis),2.480,3.640
Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 29,0,7,James Conner up the middle for 4 yards (tackle by Morgan Fox and Derwin James),3.640,3.640
2,14:24,2,6,LAC 25,0,7,Kyler Murray pass incomplete short right intended for Robbie Anderson (defended by Michael Davis),3.640,2.940
2,14:19,3,6,LAC 25,0,7,Kyler Murray pass incomplete deep right,2.940,1.830
2,14:07,4,6,LAC 25,0,10,Matt Prater 43 yard field goal good,1.830,3.000
2,14:03,,,ARI 35,0,10,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,14:03,1,10,LAC 25,0,10,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Marco Wilson),0.610,1.140
2,13:36,2,2,LAC 33,0,10,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Myjai Sanders),1.140,0.430
2,13:31,3,2,LAC 33,0,10,Justin Herbert pass complete short left to Josh Palmer for 4 yards (tackle by Marco Wilson),0.430,1.400
2,12:51,1,10,LAC 37,0,10,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Isaiah Simmons),1.400,1.800
2,11:49,2,3,LAC 44,0,10,"Justin Herbert pass complete short middle to Josh Palmer for 19 yards. Josh Palmer fumbles (forced by Trayvon Mullen), recovered by Trayvon Mullen at ARI-38 (tackle by Trayvon Mullen) Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass complete to Josh Palmer for 18 yards. Josh Palmer fumbles (forced by Trayvon Mullen), recovered by Michael Bandy at ARI-38 (tackle by Trayvon Mullen)",1.800,3.050
2,11:49,1,10,ARI 38,0,10,Justin Herbert pass complete short right to Austin Ekeler for 9 yards (tackle by Tanner Vallejo),3.050,3.720
2,11:12,2,1,ARI 29,0,10,Joshua Kelley right tackle for no gain (tackle by Trayvon Mullen),3.720,3.010
2,10:54,3,1,ARI 29,0,10,Justin Herbert up the middle for 1 yard (tackle by Zach Allen and Tanner Vallejo),3.010,3.710
2,10:10,1,10,ARI 28,0,10,Justin Herbert pass complete short left to Joshua Kelley for 11 yards (tackle by Isaiah Simmons),3.710,4.440
2,9:31,1,10,ARI 17,0,10,Justin Herbert scrambles left end for 15 yards (tackle by Antonio Hamilton),4.440,6.740
2,8:55,1,2,ARI 2,6,10,"Justin Herbert pass complete short left to Keenan Allen for 2 yards, touchdown",6.740,7.000
2,8:51,,,ARI 15,7,10,Cameron Dicker kicks extra point good,0.000,0.000
2,8:51,,,LAC 35,7,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,8:51,1,10,ARI 25,7,10,Kyler Murray pass incomplete deep left intended for DeAndre Hopkins,0.610,0.060
2,8:45,2,10,ARI 25,7,10,Kyler Murray pass complete short right to Marquise Brown for 9 yards (tackle by Bryce Callahan),0.060,0.560
2,8:00,3,1,ARI 34,7,10,Kyler Murray right end for no gain (tackle by Khalil Mack),0.560,-1.110
2,7:12,4,1,ARI 34,7,10,Kyler Murray pass deep left intended for DeAndre Hopkins is intercepted by Derwin James at LAC-44 and returned for no gain (tackle by DeAndre Hopkins),-1.110,-1.860
2,7:03,1,10,LAC 44,7,10,Justin Herbert pass complete short left to Keenan Allen for 10 yards (tackle by Marco Wilson),1.860,2.520
2,6:22,1,10,ARI 46,7,10,Justin Herbert pass complete short left to Austin Ekeler for 12 yards (tackle by Isaiah Simmons and Marco Wilson),2.520,3.310
2,5:46,1,10,ARI 34,7,10,Justin Herbert pass complete short right to Isaiah Spiller for 2 yards (tackle by Isaiah Simmons),3.310,3.040
2,5:09,2,8,ARI 32,7,10,"Justin Herbert pass complete short middle to Austin Ekeler for 9 yards (tackle by Marco Wilson and Budda Baker). Penalty on Tre' McKitty: Offensive Illegal Block Above the Waist, 10 yards (accepted)",3.040,2.910
2,4:36,2,9,ARI 33,13,10,"Justin Herbert pass complete deep left to DeAndre Carter for 33 yards, touchdown",2.910,7.000
2,4:28,,,ARI 15,14,10,Cameron Dicker kicks extra point good,0.000,0.000
2,4:28,,,LAC 35,14,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,4:28,1,10,ARI 25,14,10,James Conner up the middle for 5 yards (tackle by Drue Tranquill),0.610,0.740
2,3:55,2,5,ARI 30,14,10,Kyler Murray pass incomplete deep right intended for Marquise Brown,0.740,0.040
2,3:40,3,5,ARI 30,14,10,"Kyler Murray pass complete short left to Andre Baccellia for 7 yards (tackle by Alohi Gilman and Bryce Callahan). Penalty on Khalil Mack: Illegal Use of Hands / Defense, 5 yards (declined)",0.040,1.400
2,3:25,1,10,ARI 37,14,10,James Conner right tackle for 4 yards (tackle by Alohi Gilman and Kenneth Murray),1.400,1.400
2,2:50,2,6,ARI 41,14,10,Kyler Murray pass complete short left to Trey McBride for 1 yard (tackle by Kenneth Murray),1.400,0.830
2,2:07,3,5,ARI 42,14,10,"Penalty on LAC: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.830,2.060
2,2:00,1,10,ARI 47,14,10,James Conner left tackle for no gain (tackle by Breiden Fehoko),2.060,1.520
2,1:57,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:57,2,10,ARI 47,14,10,Kyler Murray pass complete deep left to DeAndre Hopkins for 21 yards (tackle by Derwin James),1.520,3.450
2,1:21,1,10,LAC 32,14,10,Keaontay Ingram right guard for 4 yards (tackle by Bryce Callahan),3.450,3.440
2,0:46,2,6,LAC 28,14,10,Kyler Murray pass incomplete deep right intended for Marquise Brown,3.440,2.740
2,0:40,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:40,3,6,LAC 28,14,10,Kyler Murray scrambles right end for 6 yards (tackle by Alohi Gilman),2.740,4.110
2,0:32,1,10,LAC 22,14,10,Keaontay Ingram right end for 1 yard (tackle by Drue Tranquill),4.110,3.700
2,0:26,2,9,LAC 21,14,10,Kyler Murray left tackle for 9 yards (tackle by Derwin James and Kenneth Murray),3.700,4.780
2,0:21,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:21,1,10,LAC 12,14,10,Kyler Murray pass complete short right to Marquise Brown for 7 yards (tackle by Kenneth Murray),4.780,5.410
2,0:17,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:17,2,3,LAC 5,14,16,"Kyler Murray scrambles left end for 5 yards, touchdown",5.410,7.000
2,0:12,,,LAC 15,14,17,Matt Prater kicks extra point good,0.000,0.000
2,0:12,,,ARI 35,14,17,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
2,0:12,1,10,LAC 25,14,17,Justin Herbert kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,14,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,ARI 25,14,17,Kyler Murray right end for 18 yards (tackle by Kyle Van Noy),0.610,1.800
3,14:25,1,10,ARI 43,14,17,James Conner left end for 20 yards (tackle by Alohi Gilman),1.800,3.120
3,13:40,1,10,LAC 37,14,17,James Conner right guard for 1 yard (tackle by Kyle Van Noy and Drue Tranquill),3.120,2.710
3,13:00,2,9,LAC 36,14,17,James Conner left tackle for 4 yards (tackle by Sebastian Joseph-Day),2.710,2.540
3,12:18,3,5,LAC 32,14,17,"Penalty on Billy Price: False Start, 5 yards (accepted) (no play)",2.540,1.880
3,11:58,3,10,LAC 37,14,17,James Conner right end for 6 yards (tackle by Morgan Fox and Kyle Van Noy),1.880,1.370
3,11:05,4,4,LAC 31,14,17,Matt Prater 49 yard field goal no good,1.370,-1.530
3,11:01,1,10,LAC 39,14,17,Justin Herbert pass complete short right to DeAndre Carter for no gain (tackle by Ben Niemann),1.530,0.990
3,10:25,2,10,LAC 39,14,17,Justin Herbert pass complete short left to DeAndre Carter for 12 yards (tackle by Marco Wilson),0.990,2.320
3,9:47,1,10,ARI 49,14,17,Justin Herbert pass complete short right to Gerald Everett for -3 yards (tackle by Ben Niemann and Jalen Thompson),2.320,1.380
3,9:03,2,13,LAC 48,14,17,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Myjai Sanders),1.380,1.090
3,8:20,3,10,ARI 49,14,17,Justin Herbert pass complete short right to DeAndre Carter for 13 yards,1.090,3.180
3,7:41,1,10,ARI 36,14,17,Justin Herbert pass complete short right to Joshua Kelley for 5 yards (tackle by Isaiah Simmons),3.180,3.310
3,6:55,2,5,ARI 31,14,17,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Ben Niemann),3.310,4.110
3,6:16,1,10,ARI 22,14,17,Joshua Kelley right guard for 4 yards (tackle by Antonio Hamilton),4.110,4.130
3,6:00,2,6,ARI 18,14,17,Justin Herbert pass incomplete deep left intended for Keenan Allen (defended by Isaiah Simmons),4.130,3.400
3,5:51,3,6,ARI 18,14,17,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Trayvon Mullen),3.400,4.840
3,5:22,1,10,ARI 11,14,17,Austin Ekeler right tackle for 3 yards (tackle by Budda Baker and Markus Golden),4.840,4.700
3,4:45,2,7,ARI 8,14,17,Justin Herbert pass incomplete short right intended for Austin Ekeler,4.700,3.760
3,4:36,3,7,ARI 8,14,17,Justin Herbert pass incomplete short middle intended for Keenan Allen,3.760,2.960
3,4:31,4,7,ARI 8,17,17,Cameron Dicker 26 yard field goal good,2.960,3.000
3,4:28,,,LAC 35,17,17,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,4:28,1,10,ARI 25,17,17,Kyler Murray pass complete deep right to DeAndre Hopkins for 29 yards (tackle by Derwin James),0.610,2.520
3,3:56,1,10,LAC 46,17,17,James Conner up the middle for 1 yard (tackle by Joe Gaziano),2.520,2.110
3,3:16,2,9,LAC 45,17,17,Kyler Murray pass complete short left to Marquise Brown for 13 yards (tackle by Alohi Gilman),2.110,3.450
3,2:36,1,10,LAC 32,17,17,James Conner up the middle for 3 yards (tackle by Breiden Fehoko),3.450,3.310
3,2:03,2,7,LAC 29,17,17,Kyler Murray pass incomplete short right,3.310,2.610
3,1:54,3,7,LAC 29,17,17,Kyler Murray pass complete short right to Corey Clement for 8 yards (tackle by Bryce Callahan),2.610,4.170
3,1:09,1,10,LAC 21,17,17,James Conner up the middle for 3 yards (tackle by Drue Tranquill),4.170,4.040
3,0:27,2,7,LAC 18,17,17,Kyler Murray pass complete short left to Marquise Brown for 6 yards (tackle by Bryce Callahan),4.040,4.490
Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,LAC 12,17,17,James Conner up the middle for 4 yards (tackle by Sebastian Joseph-Day and Breiden Fehoko),4.490,5.370
4,14:23,1,8,LAC 8,17,17,James Conner up the middle for 2 yards (tackle by Kenneth Murray and Alohi Gilman),5.370,4.950
4,13:36,2,6,LAC 6,17,23,"Kyler Murray pass complete short right to James Conner for 6 yards, touchdown",4.950,7.000
4,13:31,,,LAC 15,17,24,Matt Prater kicks extra point good,0.000,0.000
4,13:31,,,ARI 35,17,24,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
4,13:31,1,10,LAC 25,17,24,Justin Herbert scrambles right end for 23 yards (tackle by Isaiah Simmons),0.610,2.130
4,12:55,1,10,LAC 48,17,24,Justin Herbert pass complete short left to DeAndre Carter for -1 yards (tackle by Marco Wilson),2.130,1.450
4,12:16,2,11,LAC 47,17,24,Justin Herbert pass complete short left to Austin Ekeler for -3 yards (tackle by Zaven Collins),1.450,0.370
4,11:36,3,14,LAC 44,17,24,Justin Herbert pass complete short right to Gerald Everett for 8 yards (tackle by Antonio Hamilton),0.370,0.070
4,10:59,4,6,ARI 48,17,24,"JK Scott punts 42 yards, fair catch by Pharoh Cooper at ARI-6",0.070,0.380
4,10:52,1,10,ARI 6,17,24,James Conner up the middle for -1 yards (tackle by Drue Tranquill),-0.380,-0.850
4,10:16,2,11,ARI 5,17,24,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Kenneth Murray),-0.850,-1.540
4,10:12,3,11,ARI 5,17,24,James Conner left tackle for 9 yards (tackle by Drue Tranquill),-1.540,-2.470
4,9:18,4,2,ARI 14,17,24,"Andy Lee punts 52 yards, returned by DeAndre Carter for 5 yards (tackle by Kamu Grugier-Hill)",-2.470,-1.530
4,9:07,1,10,LAC 39,17,24,Justin Herbert sacked by Zach Allen for -4 yards,1.530,0.450
4,8:27,2,14,LAC 35,17,24,Justin Herbert pass complete short left to Austin Ekeler for 1 yard (tackle by Budda Baker),0.450,-0.100
4,7:45,3,13,LAC 36,17,24,"Justin Herbert pass short left intended for Josh Palmer is intercepted by Zaven Collins at LAC-45 and returned for 10 yards Replay Assistant challenged the pass interception ruling, and the original play was overturned. Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Zach Allen)",-0.100,-0.980
4,7:41,4,13,LAC 36,17,24,JK Scott punts 39 yards out of bounds,-0.980,-0.610
4,7:34,1,10,ARI 25,17,24,James Conner left tackle for 1 yard (tackle by Kyle Van Noy),0.610,0.200
4,6:51,2,9,ARI 26,17,24,Kyler Murray pass complete short left to DeAndre Hopkins for 4 yards (tackle by Michael Davis),0.200,0.040
4,6:24,3,5,ARI 30,17,24,Kyler Murray pass incomplete short right intended for Trey McBride (defended by Alohi Gilman),0.040,-1.370
4,6:18,4,5,ARI 30,17,24,Andy Lee punts 48 yards downed by Kamu Grugier-Hill,-1.370,-0.410
4,6:07,1,10,LAC 22,17,24,Justin Herbert pass incomplete deep right intended for DeAndre Carter (defended by Antonio Hamilton),0.410,-0.130
4,6:02,2,10,LAC 22,17,24,Justin Herbert pass complete deep left to Josh Palmer for 18 yards,-0.130,1.600
4,5:23,1,10,LAC 40,17,24,Justin Herbert pass complete short right to DeAndre Carter for 10 yards (tackle by Budda Baker),1.600,2.260
4,4:50,1,10,LAC 50,17,24,Austin Ekeler up the middle for 9 yards (tackle by Jalen Thompson),2.260,2.930
4,4:09,2,1,ARI 41,17,24,Austin Ekeler right tackle for 3 yards (tackle by J.J. Watt),2.930,3.050
4,3:35,1,10,ARI 38,17,24,Justin Herbert pass incomplete short left intended for DeAndre Carter (defended by Marco Wilson),3.050,2.510
4,3:30,2,10,ARI 38,17,24,Justin Herbert pass complete short right to Austin Ekeler for 3 yards (tackle by Trysten Hill),2.510,2.210
4,3:03,3,7,ARI 35,17,24,Justin Herbert sacked by Isaiah Simmons for -13 yards,2.210,0.070
4,2:25,4,20,ARI 48,17,24,"JK Scott punts 38 yards, fair catch by Pharoh Cooper at ARI-10",0.070,0.380
4,2:19,1,10,ARI 10,17,24,James Conner up the middle for no gain (tackle by Derwin James and Morgan Fox),-0.380,-0.780
4,2:16,,,,,,Timeout #1 by Los Angeles Chargers,,
4,2:16,2,10,ARI 10,17,24,Kyler Murray sacked by Michael Davis for -6 yards,-0.780,-2.120
4,2:11,,,,,,Timeout #2 by Los Angeles Chargers,,
4,2:11,3,16,ARI 4,17,24,Kyler Murray pass complete short right to James Conner for 9 yards (tackle by Drue Tranquill and Kenneth Murray),-2.120,-2.490
4,2:00,4,7,ARI 13,17,24,"Andy Lee punts 50 yards, returned by DeAndre Carter for 20 yards (tackle by Christian Matthew). Penalty on Christian Matthew: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.490,-3.050
4,1:48,1,10,ARI 38,17,24,Justin Herbert pass complete short left to Gerald Everett for 10 yards (tackle by Dennis Gardeck),3.050,3.710
4,1:29,1,10,ARI 28,17,24,Justin Herbert pass complete short left to Austin Ekeler for 8 yards (tackle by Jalen Thompson),3.710,4.250
4,1:08,2,2,ARI 20,17,24,"Justin Herbert pass complete short left to Austin Ekeler for no gain. Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",4.250,2.900
4,0:58,2,12,ARI 30,17,24,Justin Herbert pass complete short right to Keenan Allen for 16 yards (tackle by Antonio Hamilton),2.900,4.650
4,0:46,,,,,,Timeout #1 by Arizona Cardinals,,
4,0:46,1,10,ARI 14,17,24,Justin Herbert pass complete short left to Gerald Everett for 3 yards (tackle by Zaven Collins),4.650,4.520
4,0:29,2,7,ARI 11,17,24,Justin Herbert pass incomplete short middle intended for Austin Ekeler,4.520,3.620
4,0:25,3,7,ARI 11,17,24,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Marco Wilson),3.620,6.970
4,0:18,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:18,1,1,ARI 1,23,24,"Justin Herbert pass complete short right to Austin Ekeler for 1 yard, touchdown",6.970,7.000
4,0:15,,,ARI 2,25,24,Two Point Attempt: Justin Herbert pass complete to to Gerald Everett for no gain,1.000,1.000
4,0:15,,,LAC 35,25,24,"Cameron Dicker kicks off 52 yards, returned by Pharoh Cooper for 19 yards (tackle by Amen Ogbongbemiga and Ja'Sir Taylor)",0.000,1.070
4,0:11,1,10,ARI 32,25,24,Kyler Murray pass incomplete deep middle intended for Robbie Anderson,1.070,0.530
4,0:06,2,10,ARI 32,25,24,Kyler Murray pass incomplete deep middle intended for A.J. Green (defended by Michael Davis),0.530,-0.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
