Unnamed: 0,LAC,ARI
First Downs,22,20
Rush-Yds-TDs,13-65-0,34-181-1
Cmp-Att-Yd-TD-INT,35-47-274-3-0,18-29-191-2-1
Sacked-Yards,4-28,1-6
Net Pass Yards,246,185
Total Yards,311,366
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,4-30,3-19
Third Down Conv.,6-13,7-13
Fourth Down Conv.,0-0,0-1
Time of Possession,29:25,30:35
