Quarter,Time,Tm,Detail,MIN,DET
1.0,8:01,Vikings,Artose Pinner 3 yard rush (Ryan Longwell kick),7,0
,2:32,Vikings,Artose Pinner 4 yard rush (Ryan Longwell kick),14,0
2.0,13:41,Vikings,Brad Johnson 3 yard rush (pass failed),20,0
,8:04,Lions,Jamar Fletcher 88 yard interception return (Jason Hanson kick),20,7
,1:30,Lions,Jason Hanson 53 yard field goal,20,10
3.0,12:33,Vikings,Ryan Longwell 30 yard field goal,23,10
,7:27,Lions,Jason Hanson 45 yard field goal,23,13
4.0,13:46,Vikings,Artose Pinner 1 yard rush (Ryan Longwell kick),30,13
,10:48,Lions,Kevin Jones 23 yard pass from Jon Kitna (Jason Hanson kick),30,20
