Unnamed: 0,BAL,NYJ
First Downs,11,16
Rush-Yds-TDs,11-11-0,39-155-1
Cmp-Att-Yd-TD-INT,25-44-248-0-2,13-22-215-2-0
Sacked-Yards,2-14,5-26
Net Pass Yards,234,189
Total Yards,245,344
Fumbles-Lost,3-1,2-2
Turnovers,3,2
Penalties-Yards,4-35,4-25
Third Down Conv.,3-14,6-16
Fourth Down Conv.,0-1,0-1
Time of Possession,23:23,36:37
