Unnamed: 0,CIN,TEN
First Downs,15,27
Rush-Yds-TDs,14-53-1,36-180-2
Cmp-Att-Yd-TD-INT,20-35-265-2-0,25-44-264-1-1
Sacked-Yards,1-10,4-28
Net Pass Yards,255,236
Total Yards,308,416
Fumbles-Lost,2-2,1-1
Turnovers,2,2
Penalties-Yards,12-84,5-55
Third Down Conv.,1-10,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,19:51,40:09
