Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CIN 25,0,0,Andy Dalton pass complete short left to Brandon LaFell for 1 yard (tackle by LeShaun Sims),0.610,0.200
1,14:20,2,9,CIN 26,0,0,Andy Dalton pass complete short right to Josh Malone for 6 yards (tackle by Adoree' Jackson),0.200,0.300
1,13:35,3,3,CIN 32,0,0,Andy Dalton pass incomplete short right intended for Tyler Kroft,0.300,-1.240
1,13:32,4,3,CIN 32,0,0,"Penalty on Clayton Fejedelem: False Start, 5 yards (no play)",-1.240,-1.570
1,13:32,4,8,CIN 27,0,0,"Kevin Huber punts 57 yards, out of bounds",-1.570,0.140
1,13:21,1,10,TEN 16,0,0,Marcus Mariota pass complete short right to Rishard Matthews for 8 yards,-0.140,0.550
1,12:43,2,2,TEN 24,0,0,DeMarco Murray middle for 3 yards (tackle by Andrew Billings and Nick Vigil),0.550,0.740
1,12:00,1,10,TEN 27,0,0,DeMarco Murray right guard for 2 yards (tackle by Nick Vigil and Vontaze Burfict),0.740,0.470
1,11:21,2,8,TEN 29,0,0,Marcus Mariota for 28 yards,0.470,2.720
1,10:46,1,10,CIN 43,0,0,"Derrick Henry right guard for 1 yard (tackle by Geno Atkins). Penalty on Taylor Lewan: Unnecessary Roughness, 15 yards",2.720,0.290
1,10:22,2,24,TEN 43,0,0,Marcus Mariota pass complete short middle to Taywan Taylor for 20 yards (tackle by George Iloka),0.290,2.280
1,9:37,3,4,CIN 37,0,0,Marcus Mariota pass complete short left to Delanie Walker for 6 yards (tackle by Josh Shaw),2.280,3.510
1,9:04,1,10,CIN 31,0,0,Marcus Mariota pass complete short left to Rishard Matthews for 20 yards (tackle by Josh Shaw). Penalty on Adam Jones: Illegal Use of Hands (Declined),3.510,4.840
1,8:38,1,10,CIN 11,0,0,DeMarco Murray left end for 9 yards (tackle by Clayton Fejedelem),4.840,5.850
1,8:00,2,1,CIN 2,0,6,"DeMarco Murray right guard for 2 yards, touchdown",5.850,7.000
1,7:56,,,CIN 15,0,7,Ryan Succop kicks extra point good,0.000,0.000
1,7:56,,,TEN 35,0,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,7:56,1,10,CIN 25,0,7,Joe Mixon right tackle for 3 yards (tackle by Wesley Woodyard and Kevin Byard),0.610,0.470
1,7:19,2,7,CIN 28,0,7,"Alex Erickson right end for 7 yards (tackle by Wesley Woodyard). Penalty on Andre Smith: Illegal Block Above the Waist, 10 yards",0.470,0.060
1,6:51,2,10,CIN 25,0,7,Andy Dalton pass incomplete short right intended for Brandon LaFell,0.060,-0.620
1,6:47,3,10,CIN 25,0,7,Andy Dalton pass complete short right to Brandon LaFell for 11 yards (tackle by Johnathan Cyprien),-0.620,1.330
1,6:09,1,10,CIN 36,0,7,Andy Dalton pass complete short right to A.J. Green for 9 yards (tackle by Wesley Woodyard and Johnathan Cyprien),1.330,2.010
1,5:36,2,1,CIN 45,0,7,Joe Mixon right tackle for 8 yards (tackle by Johnathan Cyprien),2.010,2.460
1,4:59,1,10,TEN 47,0,7,Andy Dalton pass incomplete short middle intended for Joe Mixon,2.460,1.910
1,4:54,2,10,TEN 47,0,7,"Andy Dalton pass incomplete short left intended for A.J. Green. Penalty on Logan Ryan: Defensive Pass Interference, 10 yards (no play)",1.910,3.120
1,4:50,1,10,TEN 37,6,7,"Andy Dalton pass complete deep middle to Brandon LaFell for 37 yards, touchdown",3.120,7.000
1,4:44,,,TEN 15,6,7,Randy Bullock kicks extra point no good,0.000,-1.000
1,4:44,,,CIN 35,6,7,"Randy Bullock kicks off 65 yards, returned by Adoree' Jackson for 32 yards (tackle by Cody Core)",0.000,-1.070
1,4:38,1,10,TEN 32,6,7,DeMarco Murray right tackle for 3 yards (tackle by Dre Kirkpatrick and George Iloka),1.070,0.930
1,3:59,2,7,TEN 35,6,7,DeMarco Murray middle for 1 yard (tackle by George Iloka),0.930,0.370
1,3:20,3,6,TEN 36,6,7,Marcus Mariota pass complete short middle to Taywan Taylor for 14 yards (tackle by George Iloka),0.370,2.260
1,2:35,1,10,,6,7,Marcus Mariota sacked by Geno Atkins for -9 yards,2.260,0.500
1,1:51,2,19,TEN 41,6,7,Marcus Mariota pass complete short left to Corey Davis for 9 yards (tackle by Josh Shaw),0.500,1.030
1,1:07,3,10,,6,7,Marcus Mariota pass incomplete deep left intended for Delanie Walker,1.030,-0.060
1,1:01,4,10,,6,7,"Brett Kern punts 50 yards, touchback",-0.060,-0.280
1,0:51,1,10,CIN 20,6,7,Andy Dalton pass complete short left to A.J. Green for 11 yards (tackle by Logan Ryan),0.280,1.000
1,0:19,1,10,CIN 31,6,7,Joe Mixon middle for -3 yards (tackle by Kevin Byard),1.000,0.060
Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,CIN 28,6,7,Giovani Bernard left tackle for 8 yards (tackle by Erik Walden and Wesley Woodyard),0.060,0.430
2,14:15,3,5,CIN 36,6,7,Andy Dalton pass incomplete deep right intended for John Ross,0.430,-0.980
2,14:09,4,5,CIN 36,6,7,Kevin Huber punts 63 yards,-0.980,0.380
2,13:57,1,10,TEN 1,6,7,Jalston Fowler middle for 1 yard (tackle by Vincent Rey and Ryan Glasgow),-0.380,-0.710
2,13:19,2,9,TEN 2,6,7,Derrick Henry left guard for 3 yards (tackle by Vincent Rey),-0.710,-0.950
2,12:36,3,6,TEN 5,6,7,Marcus Mariota pass complete short right to Corey Davis for 15 yards (tackle by Dre Kirkpatrick),-0.950,0.000
2,12:05,,,,,,Timeout #1 by Cincinnati Bengals,0.000,-0.280
2,12:05,1,10,TEN 20,6,7,Derrick Henry left end for 6 yards (tackle by Josh Shaw),0.280,0.540
2,11:34,2,4,TEN 26,6,7,Adoree' Jackson left end for 20 yards (tackle by Vontaze Burfict),0.540,1.990
2,10:47,1,10,TEN 46,6,7,Marcus Mariota pass complete short left to Rishard Matthews for 2 yards (tackle by Michael Johnson),1.990,1.720
2,10:06,2,8,TEN 48,6,7,Derrick Henry left tackle for 23 yards (tackle by Adam Jones and Nick Vigil),1.720,3.640
2,9:23,1,10,CIN 29,6,7,Marcus Mariota pass incomplete deep right intended for Rishard Matthews,3.640,3.100
2,9:18,2,10,CIN 29,6,7,"Derrick Henry right tackle for 6 yards (tackle by Clayton Fejedelem and Vincent Rey). Penalty on DeMarco Murray: Unnecessary Roughness, 15 yards",3.100,1.220
2,8:58,3,19,CIN 38,6,7,Marcus Mariota pass complete short right to DeMarco Murray for 8 yards (tackle by Nick Vigil and Vontaze Burfict),1.220,1.410
2,8:11,4,11,CIN 30,6,7,Ryan Succop 48 yard field goal no good,1.410,-1.470
2,8:05,1,10,CIN 38,6,7,Joe Mixon right tackle for -4 yards (tackle by Sylvester Williams),1.470,0.380
2,7:26,2,14,CIN 34,6,7,Andy Dalton pass complete short left to Joe Mixon for 3 yards (tackle by Wesley Woodyard),0.380,0.100
2,6:45,3,11,CIN 37,6,7,"Andy Dalton sacked by Brian Orakpo for -10 yards. Andy Dalton fumbles (forced by Brian Orakpo), recovered by Derrick Morgan at CIN-27 (tackle by Cedric Ogbuehi)",0.100,-3.780
2,6:39,1,10,CIN 27,6,7,DeMarco Murray right tackle for 5 yards (tackle by Dre Kirkpatrick),3.780,3.910
2,6:03,2,5,CIN 22,6,7,"DeMarco Murray left end for 4 yards (tackle by Clayton Fejedelem). Penalty on Vontaze Burfict: Unnecessary Roughness, 9 yards",3.910,5.140
2,5:41,1,9,CIN 9,6,7,Marcus Mariota pass incomplete short right intended for Jonnu Smith,5.140,4.380
2,5:35,2,9,CIN 9,6,7,Marcus Mariota left end for 8 yards (tackle by Adam Jones). Penalty on Vontaze Burfict: Disqualification,4.380,6.970
2,5:12,1,1,CIN 1,6,13,"DeMarco Murray middle for 1 yard, touchdown",6.970,7.000
2,5:08,,,CIN 15,6,14,Ryan Succop kicks extra point good,0.000,0.000
2,5:08,,,TEN 35,6,14,"Ryan Succop kicks off 67 yards, returned by Alex Erickson for 26 yards (tackle by Eric Weems)",0.000,-0.540
2,5:02,1,10,CIN 24,6,14,Andy Dalton pass complete short left to A.J. Green for 12 yards (tackle by Logan Ryan),0.540,1.330
2,4:21,1,10,CIN 36,6,14,Andy Dalton pass complete short left to Tyler Kroft for 4 yards (tackle by Logan Ryan),1.330,1.330
2,3:47,2,6,CIN 40,6,14,Andy Dalton pass complete short middle to Brandon LaFell for 25 yards (tackle by Johnathan Cyprien),1.330,3.250
2,3:02,1,10,TEN 35,6,14,Joe Mixon middle for 13 yards (tackle by Kevin Byard),3.250,4.110
2,2:28,1,10,TEN 22,6,14,Andy Dalton pass complete short middle to Brandon LaFell for 13 yards (tackle by Kevin Byard),4.110,5.140
2,2:00,1,9,TEN 9,6,14,"Andy Dalton for no gain. Andy Dalton fumbles, recovered by Derrick Morgan at TEN-13 (tackle by Andy Dalton)",5.140,0.320
2,1:56,1,10,TEN 13,6,14,Marcus Mariota pass incomplete short left intended for Corey Davis is intercepted by Darqueze Dennard at TEN-23 and returned for 20 yards. Penalty on TEN: Illegal Formation (Declined),-0.320,-6.510
2,1:46,1,3,TEN 3,12,14,"Joe Mixon middle for 3 yards, touchdown",6.510,7.000
2,1:42,,,TEN 15,13,14,Randy Bullock kicks extra point good,0.000,0.000
2,1:42,,,CIN 35,13,14,"Randy Bullock kicks off 65 yards, returned by Adoree' Jackson for 20 yards (tackle by Cethan Carter)",0.000,-0.280
2,1:37,1,10,TEN 20,13,14,Marcus Mariota pass complete short middle to DeMarco Murray for 6 yards (tackle by Carlos Dunlap),0.280,0.540
2,1:18,2,4,TEN 26,13,14,Marcus Mariota pass complete short right to Delanie Walker for 3 yards (tackle by Nick Vigil),0.540,0.230
2,1:13,3,1,TEN 29,13,14,DeMarco Murray middle for 3 yards (tackle by Josh Shaw),0.230,0.000
2,1:08,,,,,,Timeout #1 by Tennessee Titans,0.000,-1.070
2,1:08,1,10,TEN 32,13,14,Marcus Mariota pass complete short right to DeMarco Murray for 9 yards (tackle by Carlos Dunlap),1.070,1.740
2,0:46,2,1,TEN 41,13,14,Marcus Mariota pass complete short right to Delanie Walker for 10 yards (tackle by Josh Shaw),1.740,2.320
2,0:26,1,10,CIN 49,13,14,Marcus Mariota pass incomplete short left intended for Corey Davis,2.320,1.780
2,0:21,2,10,CIN 49,13,14,"Marcus Mariota pass incomplete deep left intended for Corey Davis. Penalty on Carl Lawson: Defensive Offside, 5 yards (no play)",1.780,2.460
2,0:16,2,5,CIN 44,13,14,Marcus Mariota pass incomplete short left intended for Corey Davis,2.460,1.750
2,0:12,3,5,CIN 44,13,14,Marcus Mariota pass complete short left to Rishard Matthews for 8 yards (tackle by Adam Jones),1.750,0.000
2,0:05,,,,,,Timeout #2 by Tennessee Titans,0.000,0.000
2,0:05,,,,,,Timeout #2 by Cincinnati Bengals,0.000,-3.180
2,0:05,1,10,CIN 36,13,14,Marcus Mariota pass complete short middle to Eric Decker for 9 yards (tackle by Darqueze Dennard),3.180,0.000
2,0:02,,,,,,Timeout #3 by Tennessee Titans,0.000,-3.850
2,0:02,2,1,CIN 27,13,17,Ryan Succop 44 yard field goal good,3.850,3.000
Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,13,17,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TEN 25,13,17,DeMarco Murray left tackle for 2 yards (tackle by Jordan Evans),0.610,0.330
3,14:19,2,8,TEN 27,13,17,Marcus Mariota pass incomplete deep left intended for Corey Davis,0.330,-0.360
