Quarter,Time,Tm,Detail,GNB,TAM
1.0,7:31,Packers,Tony Fisher 5 yard pass from Brett Favre (Ryan Longwell kick),7,0
2.0,13:04,Packers,Ryan Longwell 31 yard field goal,10,0
,10:36,Buccaneers,Martin Gramatica 24 yard field goal,10,3
,7:52,Packers,Ryan Longwell 33 yard field goal,13,3
,0:00,Buccaneers,Martin Gramatica 47 yard field goal,13,6
3.0,12:29,Buccaneers,Keenan McCardell 3 yard pass from Brad Johnson (Martin Gramatica kick),13,13
4.0,8:54,Packers,Ahman Green 1 yard rush (Ryan Longwell kick),20,13
