Quarter,Time,Tm,Detail,SFO,PHI
1.0,9:48,Eagles,Miles Sanders 6 yard rush (Jake Elliott kick),0,7
2.0,8:29,49ers,Christian McCaffrey 23 yard rush (Robbie Gould kick),7,7
,1:36,Eagles,Miles Sanders 13 yard rush (Jake Elliott kick),7,14
,0:12,Eagles,Boston Scott 10 yard rush (Jake Elliott kick),7,21
3.0,0:43,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),7,28
4.0,5:17,Eagles,Jake Elliott 31 yard field goal,7,31
