Unnamed: 0,SFO,PHI
First Downs,11,25
Rush-Yds-TDs,24-81-1,44-148-4
Cmp-Att-Yd-TD-INT,11-18-97-0-0,15-25-121-0-0
Sacked-Yards,3-14,1-0
Net Pass Yards,83,121
Total Yards,164,269
Fumbles-Lost,3-3,0-0
Turnovers,3,0
Penalties-Yards,11-81,4-34
Third Down Conv.,2-8,5-15
Fourth Down Conv.,0-2,3-3
Time of Possession,22:34,37:26
