Quarter,Time,Tm,Detail,CIN,CLE
1.0,2:28,Browns,Phil Dawson 30 yard field goal,0,3
2.0,11:04,Browns,Evan Moore 24 yard pass from Seneca Wallace (Phil Dawson kick),0,10
,7:16,Bengals,Mike Nugent 24 yard field goal,3,10
,3:30,Bengals,Terrell Owens 78 yard pass from Carson Palmer (Mike Nugent kick),10,10
,0:00,Browns,Phil Dawson 31 yard field goal,10,13
3.0,8:54,Browns,Peyton Hillis 1 yard rush (Phil Dawson kick),10,20
,6:32,Browns,Phil Dawson 22 yard field goal,10,23
,1:14,Bengals,Mike Nugent 25 yard field goal,13,23
4.0,10:44,Bengals,Brian Leonard 3 yard pass from Carson Palmer (Mike Nugent kick),20,23
