Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
1,14:59,1,10,JAX 20,0,0,Chad Henne pass complete short right to Marcedes Lewis for 7 yards (tackle by Bradley Fletcher),0.280,0.680
1,13:45,2,3,JAX 27,0,0,Toby Gerhart right guard for 2 yards (tackle by Fletcher Cox),0.680,0.230
1,13:36,3,1,JAX 29,0,0,Toby Gerhart right tackle for -1 yards (tackle by DeMeco Ryans and Trent Cole),0.230,-1.500
1,13:08,4,2,JAX 28,0,0,"Bryan Anger punts 61 yards, returned by Darren Sproles for 16 yards (tackle by Will Ta'ufo'ou)",-1.500,-0.740
1,12:56,1,10,PHI 27,0,0,Nick Foles pass incomplete short right intended for Jeremy Maclin,0.740,0.200
1,12:53,2,10,PHI 27,0,0,LeSean McCoy left guard for -1 yards (tackle by Sen'Derrick Marks),0.200,-0.620
1,12:24,3,11,PHI 26,0,0,Nick Foles pass complete deep right to Zach Ertz for 26 yards (tackle by Winston Guy),-0.620,2.390
1,11:54,1,10,JAX 48,0,0,LeSean McCoy up the middle for 4 yards (tackle by Dwayne Gratz),2.390,2.390
1,11:34,2,6,JAX 44,0,0,LeSean McCoy right end for 1 yard (tackle by Will Blackmon),2.390,1.820
1,11:06,3,5,JAX 43,0,0,"Nick Foles sacked by Chris Clemons for -6 yards. Nick Foles fumbles (forced by Chris Clemons), recovered by Ryan Davis at PHI-44 (tackle by Allen Barbre)",1.820,-2.650
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,10:58,1,10,PHI 44,0,0,Chad Henne sacked by Mychal Kendricks for -1 yards,2.650,1.980
1,10:15,2,11,PHI 45,0,0,Toby Gerhart left end for 11 yards (tackle by Nate Allen),1.980,3.310
1,9:44,1,10,PHI 34,0,0,Toby Gerhart right end for no gain (tackle by Malcolm Jenkins),3.310,2.770
1,9:06,2,10,PHI 34,6,0,"Chad Henne pass complete deep left to Allen Hurns for 34 yards, touchdown",2.770,7.000
1,9:06,,,PHI 2,7,0,Josh Scobee kicks extra point good,0.000,0.000
1,9:06,,,JAX 35,7,0,"Josh Scobee kicks off 71 yards, returned by Nolan Carroll for 24 yards (tackle by Will Blackmon)",0.000,-0.040
1,8:54,1,10,PHI 18,7,0,LeSean McCoy right end for 4 yards (tackle by Paul Posluszny),0.040,0.140
1,8:30,2,6,PHI 22,7,0,LeSean McCoy right end for 13 yards (tackle by Winston Guy),0.140,1.270
1,8:09,1,10,PHI 35,7,0,Darren Sproles right guard for no gain (tackle by Tyson Alualu),1.270,0.720
1,7:42,2,10,PHI 35,7,0,"Nick Foles right end for 2 yards (tackle by Evander Hood). Penalty on Todd Herremans: Offensive Holding, 10 yards (no play)",0.720,-0.630
1,7:09,2,20,PHI 25,7,0,"Nick Foles sacked by Andre Branch for -9 yards. Nick Foles fumbles (forced by Andre Branch), recovered by Evander Hood at PHI-21 (tackle by Jason Kelce)",-0.630,-4.170
1,7:00,1,10,PHI 21,7,0,Chad Henne pass incomplete short right intended for Allen Robinson,4.170,3.630
1,6:55,2,10,PHI 21,13,0,"Chad Henne pass complete short right to Allen Hurns for 21 yards, touchdown",3.630,7.000
1,6:55,,,PHI 2,14,0,Josh Scobee kicks extra point good,0.000,0.000
1,6:55,,,JAX 35,14,0,"Josh Scobee kicks off 65 yards, touchback",0.000,-0.280
1,6:50,1,10,PHI 20,14,0,LeSean McCoy right end for 9 yards (tackle by Paul Posluszny),0.280,0.950
1,6:25,2,1,PHI 29,14,0,LeSean McCoy left end for 5 yards (tackle by Red Bryant),0.950,1.200
1,5:59,1,10,PHI 34,14,0,Nick Foles pass complete short right to Darren Sproles for 3 yards (tackle by Paul Posluszny),1.200,1.060
1,5:24,2,7,PHI 37,14,0,Nick Foles pass incomplete deep right intended for Jordan Matthews,1.060,0.370
1,5:19,3,7,PHI 37,14,0,Nick Foles pass incomplete short right intended for Zach Ertz,0.370,-0.910
1,5:13,4,7,PHI 37,14,0,"Donnie Jones punts 52 yards, returned by Mike Brown for 6 yards (tackle by Chris Maragos)",-0.910,0.060
1,5:03,1,10,JAX 17,14,0,"Penalty on Cedric Thornton: Defensive Offside, 5 yards (no play)",-0.060,0.810
1,5:03,1,5,JAX 22,14,0,Toby Gerhart left end for 3 yards (tackle by Bennie Logan),0.810,0.620
1,4:32,2,2,JAX 25,14,0,Toby Gerhart up the middle for -3 yards (tackle by Brandon Graham),0.620,-0.620
1,3:50,3,5,JAX 22,14,0,"Penalty on Jacques McClendon: False Start, 5 yards (no play)",-0.620,-1.250
1,3:23,3,10,JAX 17,14,0,Chad Henne sacked by Nate Allen for -9 yards,-1.250,-2.490
1,3:04,4,19,JAX 8,14,0,"Bryan Anger punts 48 yards, fair catch by Darren Sproles",-2.490,-1.860
1,3:04,1,10,PHI 44,14,0,Nick Foles pass complete short middle to Brent Celek for 12 yards (tackle by Paul Posluszny),1.860,2.650
