Quarter,Time,Tm,Detail,JAX,PHI
1.0,9:00,Jaguars,Allen Hurns 34 yard pass from Chad Henne (Josh Scobee kick),7,0
,6:50,Jaguars,Allen Hurns 21 yard pass from Chad Henne (Josh Scobee kick),14,0
2.0,14:14,Jaguars,Josh Scobee 49 yard field goal,17,0
3.0,11:44,Eagles,Darren Sproles 49 yard rush (Cody Parkey kick),17,7
,7:19,Eagles,Zach Ertz 25 yard pass from Nick Foles (Cody Parkey kick),17,14
4.0,10:55,Eagles,Cody Parkey 51 yard field goal,17,17
,6:59,Eagles,Jeremy Maclin 68 yard pass from Nick Foles (Cody Parkey kick),17,24
,1:57,Eagles,Cody Parkey 28 yard field goal,17,27
,1:23,Eagles,Fletcher Cox 17 yard defensive fumble return (Cody Parkey kick),17,34
