Quarter,Time,Tm,Detail,NYJ,KAN
1.0,8:38,Chiefs,Jamaal Charles 1 yard rush (Cairo Santos kick),0,7
,3:20,Chiefs,Anthony Fasano 2 yard pass from Alex Smith (Cairo Santos kick),0,14
2.0,2:09,Jets,Eric Decker 3 yard pass from Michael Vick (Nick Folk kick),7,14
,0:39,Chiefs,Travis Kelce 12 yard pass from Alex Smith (Cairo Santos kick),7,21
,0:00,Jets,Nick Folk 39 yard field goal,10,21
3.0,5:06,Chiefs,Cairo Santos 19 yard field goal,10,24
