Unnamed: 0,BUF,NYJ
First Downs,14,16
Rush-Yds-TDs,34-174-1,30-132-0
Cmp-Att-Yd-TD-INT,10-15-157-2-0,22-35-182-1-2
Sacked-Yards,3-13,5-39
Net Pass Yards,144,143
Total Yards,318,275
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,2-10,3-15
Third Down Conv.,4-11,7-16
Fourth Down Conv.,0-0,0-2
Time of Possession,27:52,32:08
