Unnamed: 0,KAN,DEN
First Downs,28,26
Rush-Yds-TDs,19-63-3,32-270-5
Cmp-Att-Yd-TD-INT,34-47-397-1-0,20-29-238-1-0
Sacked-Yards,3-16,0-0
Net Pass Yards,381,238
Total Yards,444,508
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,5-44,4-23
Third Down Conv.,8-13,5-9
Fourth Down Conv.,0-2,1-1
Time of Possession,28:24,31:36
