Unnamed: 0,BAL,NWE
First Downs,8,18
Rush-Yds-TDs,20-77-0,41-144-1
Cmp-Att-Yd-TD-INT,15-35-93-0-1,15-30-172-0-0
Sacked-Yards,4-46,1-2
Net Pass Yards,47,170
Total Yards,124,314
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,10-106,10-97
Third Down Conv.,3-14,6-17
Fourth Down Conv.,0-1,0-0
Time of Possession,24:06,35:54
