Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,Tony Romo pass incomplete short left intended for DeMarco Murray (defended by Michael Bennett),0.280,-0.270
1,14:33,2,10,DAL 20,0,0,"Penalty on Doug Free: False Start, 5 yards (no play)",-0.270,-1.070
1,14:21,2,15,DAL 15,0,0,Tony Romo pass incomplete short middle intended for Jason Witten,-1.070,-1.860
1,14:15,3,15,DAL 15,0,0,Tony Romo pass incomplete short left intended for Miles Austin is intercepted by Aqib Talib at DAL-29,-1.860,-3.640
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
1,14:11,1,10,DAL 29,0,0,Doug Martin up the middle for 2 yards (tackle by DeMarcus Ware and Bruce Carter),3.640,3.370
1,13:31,2,8,DAL 27,0,0,"Josh Freeman pass incomplete deep right intended for Arrelious Benn. Penalty on Morris Claiborne: Defensive Pass Interference, 15 yards, Penalty on DeMarcus Ware: Defensive Offside (Declined) (no play)",3.370,4.780
1,13:24,1,10,DAL 12,0,0,Josh Freeman pass incomplete short right intended for Vincent Jackson,4.780,4.100
1,13:20,2,10,DAL 12,0,0,"Doug Martin up the middle for 7 yards (tackle by Sean Lee). Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",4.100,5.020
1,13:05,2,5,DAL 7,0,0,Doug Martin up the middle for 4 yards (tackle by Barry Church),5.020,5.060
1,12:20,3,1,DAL 3,0,0,Doug Martin up the middle for no gain (tackle by Marcus R. Spears),5.060,3.060
1,11:34,4,1,DAL 3,0,0,Doug Martin left tackle for 2 yards (tackle by Sean Lissemore),3.060,6.970
1,10:56,1,1,DAL 1,6,0,"Josh Freeman pass complete short left to Luke Stocker for 1 yard, touchdown",6.970,7.000
1,10:56,,,DAL 2,7,0,Connor Barth kicks extra point good,0.000,0.000
1,10:51,,,TAM 35,7,0,"Michael Koenen kicks off 67 yards, returned by Felix Jones for 18 yards (tackle by Arrelious Benn)",0.000,-0.140
1,10:42,1,10,DAL 16,7,0,DeMarco Murray up the middle for 4 yards (tackle by Ronde Barber),-0.140,0.010
1,10:17,2,6,DAL 20,7,0,DeMarco Murray left end for 3 yards (tackle by Lavonte David),0.010,-0.450
1,9:33,3,3,DAL 23,7,0,Tony Romo pass complete short right to Miles Austin for 5 yards (tackle by Brandon McDonald),-0.450,0.810
1,8:58,1,10,DAL 28,7,0,DeMarco Murray up the middle for -3 yards (tackle by Gerald McCoy),0.810,-0.140
1,8:13,2,13,DAL 25,7,0,Tony Romo pass complete short middle to Dez Bryant for 9 yards (tackle by Lavonte David),-0.140,0.370
1,7:26,3,4,DAL 34,7,0,Tony Romo pass complete short left to Jason Witten for 5 yards (tackle by Mark Barron),0.370,1.530
1,7:26,1,10,DAL 39,7,0,"Penalty on Jason Witten: False Start, 5 yards (no play)",1.530,1.200
1,6:39,1,15,DAL 34,7,0,DeMarco Murray left tackle for 3 yards (tackle by Mason Foster),1.200,0.720
1,6:08,2,12,DAL 37,7,0,DeMarco Murray left tackle for -1 yards (tackle by Adrian Clayborn),0.720,-0.100
1,5:21,3,13,DAL 36,7,0,"Penalty on Doug Free: False Start, 5 yards (no play)",-0.100,-0.760
1,5:01,3,18,DAL 31,7,0,Tony Romo pass incomplete deep left intended for Dez Bryant,-0.760,-1.310
1,4:54,4,18,DAL 31,7,0,"Chris Jones punts 49 yards, returned by Jordan Shipley for 1 yard (tackle by John Phillips)",-1.310,-0.340
1,4:42,1,10,TAM 21,7,0,Josh Freeman pass incomplete deep left intended for Luke Stocker,0.340,-0.200
1,4:36,2,10,TAM 21,7,0,Doug Martin up the middle for 1 yard (tackle by Bruce Carter),-0.200,-0.760
1,3:52,3,9,TAM 22,7,0,"Penalty on Jeremy Zuttah: False Start, 5 yards (no play)",-0.760,-1.590
1,3:32,3,14,TAM 17,7,0,Josh Freeman pass incomplete short right intended for DJ Ware is intercepted by Sean Lee at TAM-23,-1.590,-4.040
1,3:23,1,10,TAM 23,7,0,DeMarco Murray right tackle for -2 yards (tackle by Michael Bennett),4.040,3.230
1,2:43,2,12,TAM 25,7,0,Tony Romo pass complete short right to DeMarco Murray for 14 yards (tackle by Aqib Talib),3.230,4.840
1,2:11,1,10,TAM 11,7,0,Tony Romo pass complete short middle to DeMarco Murray for no gain,4.840,4.140
1,1:31,2,10,TAM 11,7,6,"DeMarco Murray left end for 11 yards, touchdown",4.140,7.000
1,1:31,,,TAM 2,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,1:22,,,DAL 35,7,7,"Dan Bailey kicks off 70 yards, touchback",0.000,0.280
1,1:22,1,10,TAM 20,7,7,Josh Freeman pass complete short left to Doug Martin for 9 yards (tackle by Barry Church),0.280,0.950
1,0:40,2,1,TAM 29,7,7,Josh Freeman pass incomplete short right intended for Mike Williams,0.950,0.230
1,0:35,3,1,TAM 29,7,7,Josh Freeman up the middle for 1 yard (tackle by Anthony Spencer and DeMarcus Ware),0.230,0.940
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 30,7,7,Doug Martin left tackle for 17 yards (tackle by Mike Jenkins),0.940,2.060
2,14:09,1,10,TAM 47,7,7,"Josh Freeman sacked by DeMarcus Ware for -5 yards. Josh Freeman fumbles (forced by DeMarcus Ware), recovered by Ted Larsen at TAM-42",2.060,0.840
2,13:25,2,15,TAM 42,7,7,Doug Martin right guard for no gain (tackle by Jason Hatcher),0.840,0.170
2,12:41,3,15,TAM 42,7,7,Josh Freeman pass complete short middle to Mike Williams for 10 yards (tackle by Sean Lee),0.170,0.070
2,12:08,4,5,DAL 48,7,7,Michael Koenen punts 37 yards,0.070,0.370
2,11:54,1,10,DAL 11,7,7,DeMarco Murray left guard for -1 yards (tackle by Corvey Irvin and Michael Bennett),-0.370,-0.850
2,11:54,2,11,DAL 10,7,7,"Penalty on Jason Witten: False Start, 5 yards (no play)",-0.850,-1.220
2,10:56,2,16,DAL 5,7,7,Tony Romo pass incomplete short left intended for Kevin Ogletree,-1.220,-2.120
2,10:50,3,16,DAL 5,7,7,Tony Romo pass complete short left to Felix Jones for 15 yards (tackle by Aqib Talib),-2.120,-2.030
2,10:24,4,1,DAL 20,7,7,"Chris Jones punts 54 yards, returned by Jordan Shipley for 9 yards (tackle by Dan Connor)",-2.030,-1.270
2,10:18,1,10,TAM 35,7,7,"Josh Freeman pass incomplete short left intended for Dallas Clark. Penalty on Donald Penn: Offensive Holding, 10 yards (no play)",1.270,0.610
2,10:11,1,20,TAM 25,7,7,"Doug Martin right tackle for 6 yards (tackle by Sean Lissemore). Penalty on Sean Lissemore: Face Mask (15 Yards), 15 yards",0.610,1.990
2,9:42,1,10,TAM 46,7,7,Doug Martin up the middle for -1 yards (tackle by Anthony Spencer and DeMarcus Ware),1.990,1.320
2,8:59,2,11,TAM 45,7,7,Josh Freeman pass complete short right to Arrelious Benn for 8 yards (tackle by Bruce Carter),1.320,1.690
2,8:14,3,3,DAL 47,7,7,Josh Freeman pass complete short right to Dallas Clark for no gain,1.690,0.130
2,7:30,4,3,DAL 47,7,7,"Michael Koenen punts 29 yards, fair catch by Dwayne Harris",0.130,-0.040
2,7:22,1,10,DAL 18,7,7,Tony Romo pass incomplete short right intended for Jason Witten,0.040,-0.490
2,7:16,2,10,DAL 18,7,7,Tony Romo pass incomplete deep left intended for Dez Bryant. Penalty on Nate Livings: Offensive Holding (Declined),-0.490,-1.170
2,7:09,3,10,DAL 18,7,7,Tony Romo pass complete short right to Jason Witten for 3 yards (tackle by Ronde Barber),-1.170,-1.960
2,6:28,4,7,DAL 21,7,7,"Chris Jones punts 41 yards, muffed catch by Jordan Shipley, recovered by Orie Lemon and returned for no gain. Penalty on Dekoda Watson: Roughing the Kicker, 15 yards",-1.960,3.970
2,6:16,1,10,TAM 24,7,7,DeMarco Murray left end for -1 yards (tackle by Mason Foster),3.970,3.300
2,5:34,2,11,TAM 25,7,7,"Penalty on Doug Free: False Start, 5 yards (no play)",3.300,2.620
2,5:19,2,16,TAM 30,7,7,Tony Romo pass complete short middle to Kevin Ogletree for 9 yards (tackle by Brandon McDonald),2.620,3.140
2,4:36,3,7,TAM 21,7,7,Tony Romo up the middle for 9 yards (tackle by Mark Barron),3.140,4.780
2,3:58,1,10,TAM 12,7,7,DeMarco Murray right guard for -1 yards (tackle by Roy Miller),4.780,3.940
2,3:13,2,11,TAM 13,7,7,Tony Romo pass incomplete short right intended for Miles Austin,3.940,3.100
2,3:08,3,11,TAM 13,7,7,Tony Romo pass incomplete short left intended for Kevin Ogletree,3.100,2.570
2,2:53,4,11,TAM 13,7,10,Dan Bailey 32 yard field goal good,2.570,3.000
2,2:51,,,DAL 35,7,10,"Dan Bailey kicks onside 16 yards, recovered by Mason Foster",0.000,2.190
2,2:51,1,10,TAM 49,7,10,"Josh Freeman pass complete short left to Arrelious Benn for 9 yards (tackle by Barry Church). Penalty on TAM: Illegal Shift, 5 yards (no play)",2.190,1.860
2,2:51,1,15,TAM 44,7,10,"Penalty on Luke Stocker: False Start, 5 yards (no play)",1.860,1.530
2,2:02,1,20,TAM 39,7,10,LeGarrette Blount left end for 11 yards (tackle by Barry Church),1.530,1.780
2,1:54,2,9,DAL 50,7,10,LeGarrette Blount left guard for 4 yards (tackle by Sean Lee),1.780,1.620
2,1:13,3,5,DAL 46,7,10,"Penalty on Doug Martin: False Start, 5 yards (no play)",1.620,0.960
2,1:10,3,10,TAM 49,7,10,Josh Freeman pass incomplete short left intended for Vincent Jackson,0.960,-0.130
2,1:05,4,10,TAM 49,7,10,"Penalty on Michael Koenen: Delay of Game, 5 yards (no play)",-0.130,-0.460
2,1:00,4,15,TAM 44,7,10,"Michael Koenen punts 56 yards, touchback",-0.460,-0.280
2,0:57,1,10,DAL 20,7,10,Tony Romo pass complete short left to Dez Bryant for -2 yards (tackle by Aqib Talib),0.280,-0.630
2,0:35,2,12,DAL 18,7,10,Tony Romo pass complete short right to Miles Austin for 15 yards (tackle by Eric Wright),-0.630,0.000
2,0:27,,,,7,10,Timeout #1 by Dallas Cowboys,0.000,1.140
2,0:27,1,10,DAL 33,7,10,Tony Romo pass complete deep right to Kevin Ogletree for 19 yards (tackle by Mark Barron),1.140,2.390
2,0:21,1,10,TAM 48,7,10,Tony Romo pass complete short left to Dez Bryant for 8 yards (tackle by Aqib Talib),2.390,0.000
2,0:16,,,,7,10,Timeout #2 by Dallas Cowboys,0.000,2.930
2,0:16,2,2,TAM 40,7,10,Tony Romo sacked by Michael Bennett for -6 yards,2.930,0.000
2,0:10,,,,7,10,Timeout #3 by Dallas Cowboys,0.000,1.420
2,0:10,3,8,TAM 46,7,10,Tony Romo pass incomplete,1.420,0.200
2,0:02,4,8,TAM 46,7,10,Tony Romo pass incomplete deep middle intended for Jason Witten (defended by Mark Barron),0.200,1.990
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,7,10,"Dan Bailey kicks off 71 yards, touchback",0.000,0.280
3,15:00,1,10,TAM 20,7,10,Doug Martin right tackle for 2 yards (tackle by Sean Lissemore and Anthony Spencer),0.280,0.000
3,14:19,2,8,TAM 22,7,10,Josh Freeman pass incomplete deep left intended for Luke Stocker,0.000,-0.690
3,14:12,3,8,TAM 22,7,10,Josh Freeman pass incomplete deep left intended for Dallas Clark,-0.690,-1.900
3,14:07,4,8,TAM 22,7,10,Michael Koenen punts 45 yards (tackle by Andrew Economos),-1.900,-1.070
3,13:54,1,10,DAL 32,7,10,DeMarco Murray right guard for 4 yards (tackle by Mason Foster and Gerald McCoy),1.070,1.070
3,13:10,2,6,DAL 36,7,10,Tony Romo pass incomplete short middle intended for Miles Austin,1.070,0.370
3,13:06,3,6,DAL 36,7,10,Tony Romo pass complete short middle to Kevin Ogletree for 7 yards (tackle by Eric Wright),0.370,1.800
3,12:33,1,10,DAL 43,7,10,Tony Romo pass complete short middle to Dez Bryant for 18 yards (tackle by Aqib Talib),1.800,2.980
3,12:02,1,10,TAM 39,7,10,DeMarco Murray right tackle for 1 yard (tackle by Mason Foster),2.980,2.580
3,11:23,2,9,TAM 38,7,10,Tony Romo pass complete short middle to Miles Austin for 21 yards (tackle by Eric Wright),2.580,4.440
3,10:42,1,10,TAM 17,7,10,Tony Romo pass incomplete deep middle intended for Miles Austin,4.440,3.850
3,10:35,2,10,TAM 17,7,10,"Tony Romo sacked by Gerald McCoy for -6 yards. Tony Romo fumbles (forced by Gerald McCoy), recovered by Gary Gibson at TAM-19",3.850,-0.150
,,,,,,,"TAM challenged the fumble ruling, and the original play was overturned.",,
3,10:26,1,10,TAM 19,7,10,Doug Martin up the middle for 3 yards (tackle by Sean Lee),0.150,0.070
3,9:49,2,7,TAM 22,7,10,Josh Freeman pass incomplete short left intended for Vincent Jackson (defended by Brandon Carr),0.070,-0.680
3,9:43,3,7,TAM 22,7,10,Josh Freeman pass complete short left to DJ Ware for 11 yards (tackle by Anthony Spencer),-0.680,1.140
3,9:05,1,10,TAM 33,7,10,Doug Martin right guard for 5 yards (tackle by Sean Lee),1.140,1.270
3,8:23,2,5,TAM 38,7,10,Doug Martin left tackle for 3 yards (tackle by Tyrone Crawford),1.270,0.960
3,7:49,3,2,TAM 41,7,10,DJ Ware left guard for 2 yards (tackle by Victor Butler),0.960,1.800
3,7:20,1,10,TAM 43,7,10,Doug Martin up the middle for 1 yard (tackle by Josh Brent),1.800,1.390
3,6:41,2,9,TAM 44,7,10,"Josh Freeman pass incomplete short right intended for Dallas Clark. Penalty on Mana Silva: Defensive Pass Interference, 10 yards (no play)",1.390,2.520
3,6:35,1,10,DAL 46,7,10,LeGarrette Blount right guard for 4 yards (tackle by Victor Butler),2.520,2.520
3,5:49,2,6,DAL 42,7,10,LeGarrette Blount left guard for no gain (tackle by Victor Butler and Sean Lee),2.520,1.820
3,5:02,3,6,DAL 42,7,10,Josh Freeman pass incomplete short left intended for Mike Williams,1.820,0.460
3,4:56,4,6,DAL 42,7,10,"Michael Koenen punts 31 yards, fair catch by Dwayne Harris",0.460,0.370
3,4:48,1,10,DAL 11,7,10,Tony Romo pass complete short left to Lawrence Vickers for 5 yards (tackle by Roy Miller),-0.370,-0.300
3,4:06,2,5,DAL 16,7,10,Tony Romo pass complete short middle to Dez Bryant for 18 yards (tackle by Aqib Talib),-0.300,1.200
3,3:24,1,10,DAL 34,7,10,DeMarco Murray right end for 7 yards (tackle by Mark Barron),1.200,1.600
3,2:46,2,3,DAL 41,7,10,Felix Jones right tackle for -1 yards (tackle by Mason Foster),1.600,0.760
3,2:07,3,4,DAL 40,7,10,"Tony Romo sacked by Michael Bennett for -8 yards. Tony Romo fumbles (forced by Michael Bennett), recovered by Eric Wright at DAL-31",0.760,-3.510
,,,,,,,"TAM challenged the loose ball recovery ruling, and the original play was overturned.",,
3,2:03,1,10,DAL 31,7,10,"Josh Freeman pass incomplete. Penalty on Josh Freeman: Intentional Grounding, 10 yards",3.510,1.620
3,1:59,2,20,DAL 41,7,10,Josh Freeman pass incomplete deep left intended for Vincent Jackson (defended by Mike Jenkins),1.620,0.960
3,1:51,3,20,DAL 41,7,10,Josh Freeman pass incomplete deep right intended for Vincent Jackson,0.960,0.530
3,1:44,4,20,DAL 41,7,10,"Michael Koenen punts 41 yards, touchback",0.530,-0.280
3,1:36,1,10,DAL 20,7,10,DeMarco Murray up the middle for 1 yard (tackle by Mason Foster),0.280,-0.130
3,1:03,2,9,DAL 21,7,10,Tony Romo pass complete deep right to Miles Austin for 49 yards (tackle by Eric Wright),-0.130,3.580
3,0:11,1,10,TAM 30,7,10,"Tony Romo pass incomplete short left intended for Jason Witten. Penalty on Doug Free: Offensive Holding, 10 yards (no play)",3.580,2.920
3,0:05,1,20,TAM 40,7,10,Tony Romo pass incomplete deep middle intended for Jason Witten,2.920,1.680
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,20,TAM 40,7,10,Tony Romo pass complete short middle to Kevin Ogletree for 17 yards (tackle by Lavonte David),1.680,3.270
