Quarter,Time,Tm,Detail,TAM,DAL
1.0,10:51,Buccaneers,Luke Stocker 1 yard pass from Josh Freeman (Connor Barth kick),7,0
,1:22,Cowboys,DeMarco Murray 11 yard rush (Dan Bailey kick),7,7
2.0,2:51,Cowboys,Dan Bailey 32 yard field goal,7,10
4.0,11:10,Cowboys,Dan Bailey 26 yard field goal,7,13
,2:43,Cowboys,Dan Bailey 22 yard field goal,7,16
,0:40,Buccaneers,Connor Barth 28 yard field goal,10,16
