Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Johnny Hekker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ARI 20,0,0,David Johnson right guard for 6 yards (tackle by Mark Barron),0.280,0.540
1,14:22,2,4,ARI 26,0,0,Carson Palmer pass complete short right to Darren Fells for 22 yards (tackle by Mark Barron and Eugene Sims),0.540,2.130
1,13:35,1,10,ARI 48,0,0,David Johnson left guard for 3 yards (tackle by Michael Brockers),2.130,1.990
1,12:51,2,7,STL 49,0,0,Carson Palmer pass incomplete deep left intended for John Brown,1.990,1.290
1,12:45,3,7,STL 49,0,0,Carson Palmer pass complete deep middle to Michael Floyd for 20 yards (tackle by Janoris Jenkins),1.290,3.640
1,12:22,1,10,STL 29,0,0,David Johnson right tackle for 3 yards (tackle by Chris Long),3.640,3.510
1,11:43,2,7,STL 26,0,0,David Johnson middle for 9 yards (tackle by T.J. McDonald),3.510,4.440
1,11:03,1,10,STL 17,0,0,David Johnson right tackle for no gain (tackle by Nick Fairley),4.440,3.850
1,10:17,2,10,STL 17,0,0,Carson Palmer pass incomplete deep right intended for John Brown (defended by Lamarcus Joyner),3.850,3.070
1,10:12,3,10,STL 17,0,0,"Penalty on Carson Palmer: Delay of Game, 5 yards (no play)",3.070,2.540
1,10:12,3,15,STL 22,6,0,"Carson Palmer pass complete deep right to JJ Nelson for 22 yards, touchdown",2.540,7.000
1,10:12,,,STL 22,7,0,Chandler Catanzaro kicks extra point good,0.000,0.000
1,10:12,,,ARI 35,7,0,"Chandler Catanzaro kicks off 71 yards, returned by Benny Cunningham for 25 yards (tackle by Kerwynn Williams)",0.000,-0.150
1,10:02,1,10,STL 19,7,0,Todd Gurley right end for -3 yards (tackle by Ed Stinson),0.150,-0.870
1,9:30,2,13,STL 16,7,0,Nick Foles pass complete short left to Brian Quick for 14 yards (tackle by Tyrann Mathieu),-0.870,0.940
1,8:45,1,10,STL 30,7,0,Todd Gurley right end for 5 yards (tackle by Ed Stinson),0.940,1.070
1,8:14,2,5,STL 35,7,0,Todd Gurley middle for 3 yards (tackle by Ed Stinson),1.070,0.760
1,7:37,3,2,STL 38,7,0,Todd Gurley right tackle for no gain (tackle by Alex Okafor and Rodney Gunter),0.760,-0.850
1,6:58,4,2,STL 38,7,0,"Johnny Hekker punts 62 yards, touchback",-0.850,-0.280
1,6:42,1,10,ARI 20,7,0,David Johnson left tackle for 2 yards (tackle by Aaron Donald and James Laurinaitis),0.280,0.000
1,6:00,2,8,ARI 22,7,0,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,0.000,-0.690
1,5:55,3,8,ARI 22,7,0,Carson Palmer pass complete short left to Michael Floyd for 5 yards (tackle by Janoris Jenkins),-0.690,-1.570
1,5:29,4,3,ARI 27,7,0,"Drew Butler punts 47 yards, returned by Tavon Austin for 9 yards (tackle by Alani Fua)",-1.570,-1.270
1,5:16,1,10,STL 35,7,0,"Penalty on Kenny Britt: False Start, 5 yards (no play)",1.270,0.940
1,5:16,1,15,STL 30,7,0,Nick Foles pass incomplete deep right intended for Kenny Britt is intercepted by Rashad Johnson at ARI-43 and returned for -7 yards,0.940,-1.330
1,5:10,1,10,ARI 36,7,0,Carson Palmer pass complete short middle to David Johnson for 11 yards (tackle by Akeem Ayers),1.330,1.330
1,4:33,1,10,ARI 36,7,0,Timeout #1 by Arizona Cardinals,1.330,2.060
1,4:33,1,10,ARI 47,7,0,Carson Palmer pass complete short right to John Brown for 13 yards (tackle by Marcus Roberson),2.060,2.920
1,3:55,1,10,STL 40,7,0,David Johnson right tackle for 2 yards (tackle by Matt Longacre),2.920,2.640
1,3:09,2,8,STL 38,7,0,"Carson Palmer pass complete short right to Darren Fells for 13 yards. Penalty on John Brown: Offensive Pass Interference, 10 yards (no play)",2.640,1.290
1,2:42,2,18,STL 48,7,0,Carson Palmer pass complete short left to Larry Fitzgerald for -2 yards (tackle by Lamarcus Joyner and Eugene Sims),1.290,0.370
1,2:01,3,20,,7,0,Carson Palmer pass incomplete deep left intended for Larry Fitzgerald,0.370,-0.060
1,1:54,4,20,,7,0,"Drew Butler punts 50 yards, touchback",-0.060,-0.280
1,1:47,1,10,STL 20,7,0,Tavon Austin right end for 2 yards (tackle by Tyrann Mathieu),0.280,0.000
1,1:16,2,8,STL 22,7,0,Nick Foles pass complete deep left to Kenny Britt for 30 yards (tackle by Justin Bethel),0.000,2.390
1,0:35,1,10,ARI 48,7,0,Todd Gurley right end for -3 yards (tackle by Ed Stinson),2.390,1.440
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,STL 49,7,0,"Penalty on Jared Cook: False Start, 5 yards (no play)",1.440,0.770
