Unnamed: 0,ARI,STL
First Downs,29,9
Rush-Yds-TDs,36-175-1,15-66-0
Cmp-Att-Yd-TD-INT,27-41-362-2-0,15-35-146-0-1
Sacked-Yards,2-13,0-0
Net Pass Yards,349,146
Total Yards,524,212
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,3-25,7-104
Third Down Conv.,7-16,1-12
Fourth Down Conv.,0-1,1-2
Time of Possession,39:47,20:13
