Quarter,Time,Tm,Detail,ARI,STL
1.0,10:07,Cardinals,JJ Nelson 22 yard pass from Carson Palmer (Chandler Catanzaro kick),7,0
2.0,0:06,Cardinals,Chandler Catanzaro 33 yard field goal,10,0
3.0,11:30,Rams,Zach Hocker 35 yard field goal,10,3
,5:53,Cardinals,David Johnson 10 yard pass from Carson Palmer (Chandler Catanzaro kick),17,3
,1:30,Cardinals,Kerwynn Williams 35 yard rush (Chandler Catanzaro kick),24,3
4.0,4:09,Cardinals,Chandler Catanzaro 29 yard field goal,27,3
