Quarter,Time,Tm,Detail,PHI,LAR
1.0,13:00,Rams,Todd Gurley 2 yard rush (Greg Zuerlein kick),0,7
,8:44,Eagles,Brent Celek 5 yard pass from Carson Wentz (Jake Elliott kick),7,7
,2:54,Eagles,Trey Burton 20 yard pass from Carson Wentz (Jake Elliott kick),14,7
2.0,11:10,Eagles,Trey Burton 11 yard pass from Carson Wentz (Jake Elliott kick),21,7
,9:24,Rams,Cooper Kupp 6 yard pass from Jared Goff (Greg Zuerlein kick),21,14
,0:09,Eagles,Jake Elliott 22 yard field goal,24,14
3.0,11:41,Rams,Sammy Watkins 1 yard pass from Jared Goff (Greg Zuerlein kick),24,21
,10:07,Rams,Blake Countess 16 yard blocked punt return (Greg Zuerlein kick),24,28
,2:20,Eagles,Alshon Jeffery 2 yard pass from Carson Wentz (Jake Elliott kick),31,28
4.0,13:58,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),31,35
,9:54,Eagles,Jake Elliott 41 yard field goal,34,35
,3:45,Eagles,Jake Elliott 33 yard field goal,37,35
,0:00,Eagles,Brandon Graham 16 yard fumble return,43,35
