Unnamed: 0,PHI,LAR
First Downs,29,17
Rush-Yds-TDs,32-139-0,17-109-2
Cmp-Att-Yd-TD-INT,29-51-333-4-1,16-26-199-2-0
Sacked-Yards,2-17,2-1
Net Pass Yards,316,198
Total Yards,455,307
Fumbles-Lost,1-0,2-2
Turnovers,1,2
Penalties-Yards,10-67,7-102
Third Down Conv.,8-20,2-7
Fourth Down Conv.,2-2,0-0
Time of Possession,39:12,20:48
