Quarter,Time,Tm,Detail,BAL,TEN
1,1:27,Ravens,Michael Crabtree 4 yard pass from Joe Flacco (Justin Tucker kick),7,0
2,11:56,Ravens,Alex Collins 13 yard rush (Justin Tucker kick),14,0
3,7:40,Ravens,Alex Collins 2 yard rush (Justin Tucker kick),21,0
