Unnamed: 0,BAL,TEN
First Downs,23,7
Rush-Yds-TDs,35-123-2,14-55-0
Cmp-Att-Yd-TD-INT,25-37-238-1-1,10-15-117-0-0
Sacked-Yards,0-0,11-66
Net Pass Yards,238,51
Total Yards,361,106
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,10-70,4-35
Third Down Conv.,12-17,1-10
Fourth Down Conv.,1-1,0-0
Time of Possession,37:34,22:26
