Unnamed: 0,TAM,CAR
First Downs,15,28
Rush-Yds-TDs,23-151-1,32-123-0
Cmp-Att-Yd-TD-INT,13-28-154-1-1,25-40-277-1-0
Sacked-Yards,3-18,3-8
Net Pass Yards,136,269
Total Yards,287,392
Fumbles-Lost,4-2,4-1
Turnovers,3,1
Penalties-Yards,4-29,4-25
Third Down Conv.,5-12,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,22:37,37:23
