Unnamed: 0,BAL,CAR
First Downs,15,15
Rush-Yds-TDs,19-77-0,36-145-0
Cmp-Att-Yd-TD-INT,20-34-218-1-1,12-19-136-1-0
Sacked-Yards,2-6,2-16
Net Pass Yards,212,120
Total Yards,289,265
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-45,6-35
Third Down Conv.,5-14,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,26:09,33:51
