Quarter,Time,Tm,Detail,NYG,DAL
1.0,13:38,Cowboys,Jason Witten 4 yard pass from Tony Romo (David Buehler kick),0,7
,9:08,Cowboys,David Buehler 26 yard field goal,0,10
,2:58,Giants,Hakeem Nicks 7 yard pass from Eli Manning (Lawrence Tynes kick),7,10
2.0,10:10,Cowboys,David Buehler 41 yard field goal,7,13
,8:53,Cowboys,Dez Bryant 93 yard punt return (David Buehler kick),7,20
,4:22,Giants,Hakeem Nicks 8 yard pass from Eli Manning (Lawrence Tynes kick),14,20
,1:15,Giants,Steve Smith 14 yard pass from Eli Manning (Lawrence Tynes kick),21,20
,0:02,Giants,Lawrence Tynes 53 yard field goal,24,20
3.0,10:56,Giants,Mario Manningham 25 yard pass from Eli Manning (Lawrence Tynes kick),31,20
,5:25,Giants,Brandon Jacobs 30 yard rush (Lawrence Tynes kick),38,20
4.0,3:17,Cowboys,Dez Bryant 15 yard pass from Jon Kitna (Jason Witten pass from Jon Kitna),38,28
,1:55,Giants,Lawrence Tynes 26 yard field goal,41,28
,0:40,Cowboys,Dez Bryant 15 yard pass from Jon Kitna (David Buehler kick),41,35
