Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"David Buehler kicks off 60 yards, returned by Darius Reynaud for 11 yards (tackle by Danny McCray)",0.000,0.340
1,14:54,1,10,NYG 21,0,0,Eli Manning pass incomplete short left intended for Hakeem Nicks,0.340,-0.200
1,14:48,2,10,NYG 21,0,0,Eli Manning pass incomplete deep right intended for Hakeem Nicks (defended by Terence Newman),-0.200,-0.890
1,14:42,3,10,NYG 21,0,0,Eli Manning pass incomplete short right intended for Steve Smith is intercepted by Terence Newman at NYG-35 and returned for 30 yards,-0.890,-6.060
1,14:27,1,5,NYG 5,0,0,Marion Barber left tackle for 1 yard (tackle by Michael Boley),6.060,5.340
1,13:44,2,4,NYG 4,0,6,"Tony Romo pass complete short right to Jason Witten for 4 yards, touchdown",5.340,7.000
1,13:44,,,NYG 2,0,7,David Buehler kicks extra point good,0.000,0.000
1,13:44,,,DAL 30,0,7,"David Buehler kicks off 72 yards, returned by Darius Reynaud for 13 yards (tackle by Sam Hurd)",0.000,-0.370
1,13:34,1,10,NYG 11,0,7,Ahmad Bradshaw right guard for 2 yards (tackle by Marcus Spears and Anthony Spencer),-0.370,-0.630
1,12:57,2,8,NYG 13,0,7,Ahmad Bradshaw right guard for 1 yard (tackle by Anthony Spencer),-0.630,-1.070
1,12:10,3,7,NYG 14,0,7,Eli Manning pass incomplete short middle intended for Hakeem Nicks is intercepted by Gerald Sensabaugh at NYG-26 and returned for 8 yards,-1.070,-4.370
1,12:02,1,10,NYG 18,0,7,Tony Romo pass complete short middle to Martellus Bennett for 5 yards (tackle by Corey Webster),4.370,4.610
1,11:26,2,5,NYG 13,0,7,Marion Barber left end for 5 yards (tackle by Corey Webster),4.610,5.370
1,10:52,1,8,NYG 8,0,7,Marion Barber right end for no gain (tackle by Chris Canty),5.370,4.570
1,10:06,2,8,NYG 8,0,7,Marion Barber right tackle for no gain (tackle by Justin Tuck),4.570,3.580
1,9:17,3,8,NYG 8,0,7,Tony Romo pass incomplete short left intended for Miles Austin,3.580,2.950
1,9:12,4,8,NYG 8,0,10,David Buehler 26 yard field goal good,2.950,3.000
1,9:12,,,DAL 30,0,10,"David Buehler kicks off 65 yards, returned by Darius Reynaud for 16 yards (tackle by Sam Hurd)",0.000,0.340
1,9:04,1,10,NYG 21,0,10,Eli Manning pass complete short right to Hakeem Nicks for 13 yards (tackle by Alan Ball),0.340,1.200
1,8:26,1,10,NYG 34,0,10,Ahmad Bradshaw right tackle for 5 yards (tackle by Gerald Sensabaugh),1.200,1.330
1,8:26,2,5,NYG 39,0,10,Brandon Jacobs right tackle for 3 yards (tackle by Keith Brooking),1.330,1.030
1,7:05,3,2,NYG 42,0,10,Eli Manning pass complete short middle to Mario Manningham for 2 yards (tackle by Alan Ball),1.030,1.860
,,,,,,,"DAL challenged the first down ruling, and the play was upheld.",,
1,6:15,1,10,NYG 44,0,10,Eli Manning pass incomplete short left intended for Travis Beckum,1.860,1.320
1,6:11,2,10,NYG 44,0,10,Eli Manning pass complete short right to Steve Smith for 5 yards (tackle by Mike Jenkins),1.320,1.290
1,5:30,3,5,NYG 49,0,10,Eli Manning pass complete short right to Hakeem Nicks for 11 yards (tackle by Terence Newman),1.290,2.920
,,,,,,,"NYG challenged the incomplete pass ruling, and the original play was overturned.",,
1,5:07,1,10,DAL 40,0,10,Ahmad Bradshaw middle for 7 yards (tackle by Anthony Spencer and Bradie James),2.920,3.320
1,4:21,2,3,DAL 33,0,10,Eli Manning pass complete short right to Hakeem Nicks for 24 yards (tackle by Alan Ball),3.320,5.140
1,3:51,1,9,DAL 9,0,10,Ahmad Bradshaw left tackle for 2 yards (tackle by Gerald Sensabaugh),5.140,4.760
1,3:03,2,7,DAL 7,6,10,"Eli Manning pass complete short left to Hakeem Nicks for 7 yards, touchdown",4.760,7.000
1,3:03,,,DAL 2,7,10,Lawrence Tynes kicks extra point good,0.000,0.000
1,3:03,,,NYG 30,7,10,"Lawrence Tynes kicks off 71 yards, returned by Akwasi Owusu-Ansah for 41 yards (tackle by Lawrence Tynes)",0.000,1.600
1,2:52,1,10,DAL 40,7,10,Tony Romo pass complete short middle to Jason Witten for 9 yards (tackle by Antrel Rolle),1.600,2.270
1,2:14,2,1,DAL 49,7,10,Felix Jones middle for 5 yards (tackle by Osi Umenyiora),2.270,2.520
