Unnamed: 0,NYG,DAL
First Downs,25,14
Rush-Yds-TDs,37-200-1,13-41-0
Cmp-Att-Yd-TD-INT,25-35-306-4-3,21-40-226-3-0
Sacked-Yards,1-9,3-13
Net Pass Yards,297,213
Total Yards,497,254
Fumbles-Lost,3-2,2-2
Turnovers,5,2
Penalties-Yards,6-46,5-42
Third Down Conv.,5-13,0-10
Fourth Down Conv.,0-0,1-2
Time of Possession,37:31,22:29
