Quarter,Time,Tm,Detail,DEN,KAN
1.0,8:57,Broncos,Demaryius Thomas 23 yard pass from Peyton Manning (Connor Barth kick),7,0
,1:58,Broncos,C.J. Anderson 15 yard pass from Peyton Manning (Connor Barth kick),14,0
2.0,7:14,Broncos,Connor Barth 22 yard field goal,17,0
,3:02,Chiefs,Anthony Fasano 20 yard pass from Alex Smith (Cairo Santos kick),17,7
,0:16,Broncos,Connor Barth 24 yard field goal,20,7
3.0,12:43,Chiefs,Cairo Santos 39 yard field goal,20,10
,6:16,Broncos,Connor Barth 30 yard field goal,23,10
4.0,14:44,Broncos,Connor Barth 33 yard field goal,26,10
,11:46,Chiefs,Jamaal Charles 12 yard pass from Alex Smith (pass failed),26,16
,7:33,Broncos,Connor Barth 37 yard field goal,29,16
