Unnamed: 0,DEN,KAN
First Downs,21,11
Rush-Yds-TDs,45-214-0,15-41-0
Cmp-Att-Yd-TD-INT,17-34-179-2-0,15-23-153-2-1
Sacked-Yards,1-5,6-43
Net Pass Yards,174,110
Total Yards,388,151
Fumbles-Lost,1-1,2-2
Turnovers,1,3
Penalties-Yards,5-32,5-35
Third Down Conv.,9-21,1-9
Fourth Down Conv.,2-2,1-2
Time of Possession,38:47,21:13
