Quarter,Time,Tm,Detail,SEA,TAM
1.0,9:58,Seahawks,Josh Brown 35 yard field goal,3,0
,2:53,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),10,0
2.0,14:14,Buccaneers,Joey Galloway 4 yard pass from Tim Rattay (Matt Bryant kick),10,7
,0:19,Seahawks,D.J. Hackett 5 yard pass from Matt Hasselbeck (Josh Brown kick),17,7
3.0,10:14,Seahawks,Josh Brown 30 yard field goal,20,7
4.0,14:49,Seahawks,Josh Brown 23 yard field goal,23,7
