Unnamed: 0,SEA,TAM
First Downs,28,15
Rush-Yds-TDs,42-132-1,21-110-0
Cmp-Att-Yd-TD-INT,17-29-216-1-0,16-27-185-1-0
Sacked-Yards,1-4,1-8
Net Pass Yards,212,177
Total Yards,344,287
Fumbles-Lost,1-1,2-2
Turnovers,1,2
Penalties-Yards,3-20,8-51
Third Down Conv.,8-14,3-9
Fourth Down Conv.,0-0,0-1
Time of Possession,37:20,22:40
