Unnamed: 0,SEA,NYG
First Downs,13,17
Rush-Yds-TDs,23-121-1,29-112-0
Cmp-Att-Yd-TD-INT,15-26-173-1-0,27-34-203-0-2
Sacked-Yards,2-13,11-67
Net Pass Yards,160,136
Total Yards,281,248
Fumbles-Lost,0-0,3-1
Turnovers,0,3
Penalties-Yards,8-74,6-45
Third Down Conv.,3-12,6-16
Fourth Down Conv.,0-2,2-4
Time of Possession,24:00,36:00
