Unnamed: 0,DEN,KAN
First Downs,21,22
Rush-Yds-TDs,24-117-2,16-46-1
Cmp-Att-Yd-TD-INT,26-38-222-1-1,29-42-328-3-1
Sacked-Yards,4-32,0-0
Net Pass Yards,190,328
Total Yards,307,374
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,3-23,5-31
Third Down Conv.,3-12,2-9
Fourth Down Conv.,1-2,1-1
Time of Possession,33:06,26:54
