Quarter,Time,Tm,Detail,TEN,HOU
1.0,12:30,Titans,Rob Bironas 52 yard field goal,3,0
,9:43,Texans,DeMeco Ryans 26 yard defensive fumble return (Kris Brown kick),3,7
,0:52,Titans,Rob Bironas 25 yard field goal,6,7
2.0,11:46,Titans,Rob Bironas 21 yard field goal,9,7
,5:36,Titans,LenDale White 1 yard rush (Rob Bironas kick),16,7
,1:06,Titans,Rob Bironas 30 yard field goal,19,7
,0:00,Titans,Rob Bironas 28 yard field goal,22,7
3.0,10:53,Titans,Rob Bironas 43 yard field goal,25,7
,3:01,Titans,Chris Henry 4 yard rush (Rob Bironas kick),32,7
4.0,13:43,Texans,David Anderson 7 yard pass from Sage Rosenfels (Andre' Davis pass from Sage Rosenfels),32,15
,8:15,Texans,Kevin Walter 6 yard pass from Sage Rosenfels (Kris Brown kick),32,22
,3:47,Titans,Rob Bironas 29 yard field goal,35,22
,1:37,Texans,Jeb Putzier 7 yard pass from Sage Rosenfels (Kris Brown kick),35,29
,0:57,Texans,Andre' Davis 53 yard pass from Sage Rosenfels (Kris Brown kick),35,36
,0:00,Titans,Rob Bironas 29 yard field goal,38,36
