Unnamed: 0,MIN,SEA
First Downs,28,18
Rush-Yds-TDs,32-194-3,31-159-4
Cmp-Att-Yd-TD-INT,29-53-273-0-2,13-28-222-1-0
Sacked-Yards,4-24,0-0
Net Pass Yards,249,222
Total Yards,443,381
Fumbles-Lost,4-2,1-1
Turnovers,4,1
Penalties-Yards,8-58,4-35
Third Down Conv.,10-18,4-12
Fourth Down Conv.,1-4,1-2
Time of Possession,34:53,25:07
