Unnamed: 0,BAL,MIA
First Downs,10,17
Rush-Yds-TDs,22-66-0,39-116-3
Cmp-Att-Yd-TD-INT,14-28-127-1-1,18-26-221-0-0
Sacked-Yards,7-36,0-0
Net Pass Yards,91,221
Total Yards,157,337
Fumbles-Lost,3-0,1-0
Turnovers,1,0
Penalties-Yards,7-50,3-34
Third Down Conv.,2-13,6-16
Fourth Down Conv.,1-2,0-0
Time of Possession,25:53,34:07
