Unnamed: 0,SEA,MIN
First Downs,13,14
Rush-Yds-TDs,28-97-0,29-58-0
Cmp-Att-Yd-TD-INT,13-26-142-1-1,17-24-146-0-0
Sacked-Yards,2-13,3-21
Net Pass Yards,129,125
Total Yards,226,183
Fumbles-Lost,2-0,1-1
Turnovers,1,1
Penalties-Yards,6-65,2-46
Third Down Conv.,5-14,3-13
Fourth Down Conv.,0-3,1-1
Time of Possession,27:34,32:26
