Quarter,Time,Tm,Detail,SEA,MIN
1.0,1:01,Vikings,Blair Walsh 22 yard field goal,0,3
3.0,7:04,Vikings,Blair Walsh 43 yard field goal,0,6
,0:02,Vikings,Blair Walsh 47 yard field goal,0,9
4.0,11:37,Seahawks,Doug Baldwin 3 yard pass from Russell Wilson (Stephen Hauschka kick),7,9
,8:04,Seahawks,Stephen Hauschka 46 yard field goal,10,9
