Quarter,Time,Tm,Detail,ARI,IND
1,7:38,Colts,Frank Gore 5 yard rush (Adam Vinatieri kick),0,7
,1:27,Colts,Adam Vinatieri 46 yard field goal,0,10
2,5:56,Cardinals,Phil Dawson 27 yard field goal,3,10
4,11:42,Colts,Adam Vinatieri 29 yard field goal,3,13
,7:38,Cardinals,JJ Nelson 45 yard pass from Carson Palmer (Phil Dawson kick),10,13
,3:25,Cardinals,Phil Dawson 40 yard field goal,13,13
OT,8:02,Cardinals,Phil Dawson 30 yard field goal,16,13
