Unnamed: 0,ARI,IND
First Downs,17,18
Rush-Yds-TDs,25-83-0,29-76-1
Cmp-Att-Yd-TD-INT,19-36-332-1-1,20-37-216-0-1
Sacked-Yards,4-26,4-26
Net Pass Yards,306,190
Total Yards,389,266
Fumbles-Lost,1-0,3-0
Turnovers,1,1
Penalties-Yards,6-41,8-70
Third Down Conv.,6-15,8-18
Fourth Down Conv.,0-1,0-0
Time of Possession,28:49,33:09
