Quarter,Time,Down,ToGo,Location,ARI,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Kerwynn Williams right tackle for 2 yards (tackle by Jabaal Sheard),0.610,0.330
1,14:24,2,8,ARI 27,0,0,Carson Palmer sacked by John Simon for -7 yards,0.330,-1.290
1,13:39,3,15,ARI 20,0,0,Carson Palmer pass incomplete deep left intended for Jaron Brown,-1.290,-2.030
1,13:34,4,15,ARI 20,0,0,"Andy Lee punts 49 yards, returned by Quan Bray for 16 yards (tackle by Elijhaa Penny)",-2.030,-2.060
1,13:23,1,10,IND 47,0,0,Jacoby Brissett right end for 6 yards (tackle by Haason Reddick and Justin Bethel),2.060,2.330
1,12:58,2,4,ARI 47,0,0,Jacoby Brissett pass incomplete short right intended for Frank Gore,2.330,1.620
1,12:53,3,4,ARI 47,0,0,Jacoby Brissett pass complete short right to Jack Doyle for 10 yards (tackle by Budda Baker),1.620,3.120
1,12:22,1,10,ARI 37,0,0,Frank Gore left end for -2 yards (tackle by Tyrann Mathieu),3.120,2.300
1,11:46,2,12,ARI 39,0,0,Jacoby Brissett pass incomplete short right intended for Donte Moncrief,2.300,1.620
1,11:38,3,12,ARI 39,0,0,Jacoby Brissett pass complete short middle to Kamar Aiken for 14 yards (tackle by Tyrann Mathieu),1.620,3.910
1,11:02,1,10,ARI 25,0,0,Frank Gore right tackle for 8 yards (tackle by Tyvon Branch),3.910,4.550
1,10:26,2,2,ARI 17,0,0,Frank Gore middle for 1 yard (tackle by Antoine Bethea),4.550,4.060
1,9:49,3,1,ARI 16,0,0,Robert Turbin middle for 5 yards (tackle by Karlos Dansby and Josh Mauro),4.060,4.840
1,9:08,1,10,ARI 11,0,0,Frank Gore middle for 2 yards (tackle by Markus Golden),4.840,4.510
1,8:34,2,8,ARI 9,0,0,Jacoby Brissett sacked by Josh Bynes for -2 yards,4.510,3.130
1,7:57,3,10,ARI 11,0,0,Jacoby Brissett pass incomplete short left intended for T.Y. Hilton,3.130,2.700
1,7:52,4,10,ARI 11,0,0,"Adam Vinatieri 29 yard field goal good. Penalty on Rodney Gunter: Leverage, 6 yards (no play)",2.700,6.060
1,7:49,1,5,ARI 5,0,0,Jacoby Brissett pass incomplete short right intended for Donte Moncrief,6.060,5.150
1,7:42,2,5,ARI 5,0,6,"Frank Gore middle for 5 yards, touchdown",5.150,7.000
1,7:38,,,ARI 15,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,7:38,,,IND 35,0,7,"Rigoberto Sanchez kicks off 61 yards, returned by Kerwynn Williams for 14 yards (tackle by Darrell Daniels)",0.000,-0.040
1,7:32,1,10,ARI 18,0,7,Kerwynn Williams right tackle for 4 yards (tackle by Johnathan Hankins and Al Woods),0.040,0.140
1,6:48,2,6,ARI 22,0,7,Kerwynn Williams middle for 1 yard (tackle by Jabaal Sheard),0.140,-0.530
1,6:05,3,5,ARI 23,0,7,Carson Palmer pass incomplete short left intended for Jaron Brown (defended by Quincy Wilson),-0.530,-1.830
1,6:00,4,5,ARI 23,0,7,"Andy Lee punts 43 yards, returned by Quan Bray for 6 yards (tackle by Tyvon Branch)",-1.830,-1.600
1,5:48,1,10,IND 40,0,7,Jacoby Brissett pass complete short middle to Jack Doyle for 15 yards (tackle by Tyvon Branch),1.600,2.590
1,5:12,1,10,ARI 45,0,7,Frank Gore middle for 5 yards (tackle by Karlos Dansby),2.590,2.720
1,4:35,2,5,ARI 40,0,7,Marlon Mack left end for -2 yards (tackle by Karlos Dansby),2.720,1.750
1,4:04,3,7,ARI 42,0,7,Jacoby Brissett pass complete short middle to Robert Turbin for 8 yards (tackle by Justin Bethel),1.750,3.310
1,3:24,1,10,ARI 34,0,7,Marlon Mack left tackle for 1 yard (tackle by Chandler Jones and Haason Reddick),3.310,2.910
1,2:52,2,9,ARI 33,0,7,Marlon Mack right guard for -4 yards (tackle by Xavier Williams),2.910,1.690
1,2:11,3,13,ARI 37,0,7,Jacoby Brissett pass complete short middle to Jack Doyle for 9 yards (tackle by Karlos Dansby),1.690,1.650
1,1:33,4,4,ARI 28,0,10,Adam Vinatieri 46 yard field goal good,1.650,3.000
1,1:27,,,IND 35,0,10,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,1:27,1,10,ARI 25,0,10,Carson Palmer pass complete deep left to Ifeanyi Momah for 46 yards (tackle by Matthias Farley and Malik Hooker),0.610,3.640
1,0:51,1,10,IND 29,0,10,Kerwynn Williams middle for 5 yards (tackle by John Simon and Rashaan Melvin),3.640,3.780
1,0:12,2,5,IND 24,0,10,Carson Palmer pass complete short middle to Troy Niklas for 16 yards (tackle by John Simon),3.780,5.370
Quarter,Time,Down,ToGo,Location,ARI,IND,Detail,EPB,EPA
