Quarter,Time,Down,ToGo,Location,DET,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Michael Badgley kicks off 60 yards, returned by Raheem Blackshear for 17 yards (tackle by C.J. Moore)",0.000,0.410
1,14:55,1,10,CAR 22,0,0,Chuba Hubbard left end for 30 yards (tackle by Ifeatu Melifonwu),0.410,2.390
1,14:15,1,10,DET 48,0,0,"Penalty on Ian Thomas: False Start, 5 yards (accepted) (no play)",2.390,2.060
1,13:51,1,15,CAR 47,0,0,Chuba Hubbard up the middle for 35 yards (tackle by Kerby Joseph),2.060,4.370
1,13:22,1,10,DET 18,0,0,Chuba Hubbard up the middle for 5 yards (tackle by Isaiah Buggs),4.370,4.610
1,12:45,2,5,DET 13,0,0,D'Onta Foreman right tackle for 6 yards (tackle by John Cominsky and Jeff Okudah),4.610,5.600
1,12:02,1,7,DET 7,0,6,"Raheem Blackshear right end for 7 yards, touchdown",5.600,7.000
1,11:57,,,DET 15,0,7,Eddy Pineiro kicks extra point good,0.000,0.000
1,11:57,,,CAR 35,0,7,"Eddy Pineiro kicks off 62 yards, out of bounds",0.000,1.600
1,11:57,1,10,DET 40,0,7,Jared Goff pass incomplete short right,1.600,1.050
1,11:54,2,10,DET 40,0,7,Jared Goff pass incomplete short right intended for DJ Chark (defended by Derrick Brown),1.050,0.370
1,11:46,3,10,DET 40,0,7,Jared Goff pass complete deep left to DJ Chark for 39 yards (tackle by Jeremy Chinn),0.370,4.170
1,11:09,1,10,CAR 21,0,7,Jared Goff pass complete short left to DJ Chark for 4 yards (tackle by Shaq Thompson),4.170,4.200
1,10:20,2,6,CAR 17,0,7,Amon-Ra St. Brown left end for no gain (tackle by Derrick Brown and Yetur Gross-Matos),4.200,3.460
1,9:59,3,6,CAR 17,0,7,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Myles Hartsfield),3.460,6.280
1,9:18,1,4,CAR 4,0,7,Jamaal Williams up the middle for 1 yard (tackle by Damien Wilson and Yetur Gross-Matos),6.280,5.530
1,8:43,2,3,CAR 3,6,7,"Jared Goff pass complete short right to Shane Zylstra for 3 yards, touchdown",5.530,7.000
1,8:38,,,CAR 15,7,7,Michael Badgley kicks extra point good,0.000,0.000
1,8:38,,,DET 35,7,7,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
1,8:38,1,10,CAR 25,7,7,D'Onta Foreman up the middle for 21 yards (tackle by Kerby Joseph),0.610,1.990
1,8:03,1,10,CAR 46,7,7,"Penalty on Laviska Shenault: False Start, 5 yards (accepted) (no play)",1.990,1.660
1,7:43,1,15,CAR 41,7,7,Raheem Blackshear up the middle for -1 yards (tackle by Alim McNeill),1.660,0.640
1,6:59,2,16,CAR 40,7,7,Sam Darnold pass complete short right to Laviska Shenault for 10 yards (tackle by Kerby Joseph and Will Harris),0.640,1.290
1,6:19,3,6,CAR 50,7,7,"Sam Darnold pass incomplete intended for Ian Thomas. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (declined)",1.290,-0.060
1,6:14,4,6,CAR 50,7,7,"Johnny Hekker punts 41 yards, fair catch by Kalif Raymond at DET-9",-0.060,0.380
1,6:07,1,10,DET 9,7,7,Jamaal Williams left tackle for 3 yards (tackle by Jeremy Chinn and Matthew Ioannidis),-0.380,-0.560
1,5:31,2,7,DET 12,7,7,Jared Goff pass complete short right to James Mitchell for 22 yards (tackle by Jeremy Chinn),-0.560,1.200
1,4:56,1,10,DET 34,7,7,D'Andre Swift right guard for 3 yards (tackle by Henry Anderson),1.200,1.060
1,4:20,2,7,DET 37,7,7,Jared Goff pass complete short right to Brock Wright for 11 yards (tackle by Xavier Woods),1.060,2.130
1,3:43,1,10,DET 48,7,7,Jared Goff pass complete deep right to Amon-Ra St. Brown for 19 yards (tackle by Myles Hartsfield),2.130,3.380
1,3:03,1,10,CAR 33,7,7,Justin Jackson left tackle for -1 yards (tackle by Matthew Ioannidis and Yetur Gross-Matos),3.380,2.700
1,2:25,2,11,CAR 34,7,7,"Jared Goff pass incomplete intended for Josh Reynolds. Penalty on Jeremy Chinn: Defensive Pass Interference, 3 yards (accepted) (no play)",2.700,3.510
1,2:20,1,10,CAR 31,7,7,Jamaal Williams up the middle for -4 yards (tackle by Frankie Luvu),3.510,2.430
1,1:42,2,14,CAR 35,7,7,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Jeremy Chinn),2.430,1.750
1,1:38,3,14,CAR 35,7,7,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Shaq Thompson),1.750,2.140
1,0:54,4,1,CAR 22,7,7,Jamaal Williams left guard for 2 yards (tackle by Cory Littleton and Bravvion Roy),2.140,4.240
1,0:16,1,10,CAR 20,7,7,Jamaal Williams up the middle for 4 yards (tackle by Yetur Gross-Matos),4.240,4.280
Quarter,Time,Down,ToGo,Location,DET,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CAR 16,7,7,Kalif Raymond right end for 8 yards (tackle by Jeremy Chinn and Jaycee Horn),4.280,5.370
2,14:21,1,8,CAR 8,7,7,"Jared Goff aborted snap, recovered by Yetur Gross-Matos at CAR-9",5.370,0.380
2,14:17,1,10,CAR 9,7,7,Sam Darnold pass complete short right to Tommy Tremble for 18 yards (tackle by Aidan Hutchinson),-0.380,0.740
2,13:29,1,10,CAR 27,7,7,D'Onta Foreman up the middle for 38 yards (tackle by Jeff Okudah),0.740,3.250
2,12:44,1,10,DET 35,7,7,Chuba Hubbard left tackle for 2 yards (tackle by Ifeatu Melifonwu),3.250,2.970
2,12:03,2,8,DET 33,7,7,D'Onta Foreman left guard for 5 yards (tackle by John Cominsky),2.970,2.940
2,11:22,3,3,DET 28,7,7,Sam Darnold pass complete short left to Ian Thomas for 12 yards (tackle by Ifeatu Melifonwu),2.940,4.510
