Quarter,Time,Tm,Detail,DET,CAR
1.0,11:57,Panthers,Raheem Blackshear 7 yard rush (Eddy Pineiro kick),0,7
,8:38,Lions,Shane Zylstra 3 yard pass from Jared Goff (Michael Badgley kick),7,7
2.0,9:35,Panthers,Sam Darnold 3 yard rush (Eddy Pineiro kick),7,14
,2:08,Panthers,D'Onta Foreman 4 yard rush (Eddy Pineiro kick),7,21
,0:00,Panthers,Eddy Pineiro 37 yard field goal,7,24
3.0,9:12,Panthers,D.J. Moore 5 yard pass from Sam Darnold (Eddy Pineiro kick),7,31
,3:09,Lions,Shane Zylstra 7 yard pass from Jared Goff (run failed),13,31
4.0,13:13,Panthers,Eddy Pineiro 40 yard field goal,13,34
,3:46,Lions,Shane Zylstra 1 yard pass from Jared Goff (Michael Badgley kick),20,34
,1:56,Panthers,Eddy Pineiro 36 yard field goal,20,37
,0:36,Lions,Michael Badgley 34 yard field goal,23,37
