Unnamed: 0,DET,CAR
First Downs,22,30
Rush-Yds-TDs,17-45-0,43-320-3
Cmp-Att-Yd-TD-INT,25-42-355-3-0,15-22-250-1-0
Sacked-Yards,2-19,0-0
Net Pass Yards,336,250
Total Yards,381,570
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,4-30,10-74
Third Down Conv.,4-12,3-9
Fourth Down Conv.,2-3,1-1
Time of Possession,24:47,35:13
