Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kendre Miller,NOR,9,34,0,3,24,2.7,10,1.1,0,
Tony Jones,NOR,8,31,0,2,30,3.8,1,0.1,0,
Taysom Hill,NOR,4,12,0,,6,1.5,6,1.5,1,4.0
Rashid Shaheed,NOR,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
AJ Dillon,GNB,11,33,0,2,16,1.5,17,1.5,1,11.0
Jordan Love,GNB,9,39,1,2,34,3.8,5,0.6,1,9.0
Patrick Taylor,GNB,3,6,0,0,5,1.7,1,0.3,0,
Emanuel Wilson,GNB,2,6,0,,6,3.0,0,0.0,0,
Keisean Nixon,GNB,1,11,0,1,0,0.0,11,11.0,1,1.0
