Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
Zach Wilson,NYJ,18,36,252,11,29.7,331,9.2,155,8.6,4.3,97,5.4,5,16.1%,7,22.6%,1,13,4,5,10,25.6%,2,7.5
Braxton Berrios,NYJ,1,1,2,1,100.0,2,2.0,2,2.0,2.0,0,0.0,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,
Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
Kenny Pickett,PIT,10,13,120,6,46.2,167,12.8,80,8.0,6.2,40,4.0,1,7.7%,1,7.7%,0,1,0,2,2,13.3%,2,5.0
Mitchell Trubisky,PIT,7,13,84,5,31.3,209,16.1,59,8.4,4.5,25,3.6,2,15.4%,2,15.4%,3,3,1,1,5,29.4%,1,1.0
