Unnamed: 0,NYJ,PIT
First Downs,19,20
Rush-Yds-TDs,29-98-1,31-119-2
Cmp-Att-Yd-TD-INT,19-37-254-2-2,17-26-204-0-4
Sacked-Yards,1-4,3-26
Net Pass Yards,250,178
Total Yards,348,297
Fumbles-Lost,1-0,2-0
Turnovers,2,4
Penalties-Yards,7-64,8-55
Third Down Conv.,6-15,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,29:59,30:01
