Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Breece Hall,NYJ,17,66,1,5,52,3.1,14,0.8,0,
Michael Carter,NYJ,9,15,0,,15,1.7,0,0.0,0,
Zach Wilson,NYJ,2,15,0,0,15,7.5,0,0.0,0,
Elijah Moore,NYJ,1,2,0,0,2,2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Najee Harris,PIT,18,74,0,2,44,2.4,30,1.7,0,
Kenny Pickett,PIT,6,15,2,4,14,2.3,1,0.2,0,
Jaylen Warren,PIT,3,18,0,1,15,5.0,3,1.0,0,
Diontae Johnson,PIT,2,11,0,0,11,5.5,0,0.0,0,
Gunner Olszewski,PIT,1,0,0,,0,0.0,0,0.0,0,
Mitchell Trubisky,PIT,1,1,0,0,1,1.0,0,0.0,0,
