Unnamed: 0,BUF,KAN
First Downs,27,21
Rush-Yds-TDs,38-171-3,13-159-0
Cmp-Att-Yd-TD-INT,24-32-273-2-0,24-39-316-4-2
Sacked-Yards,0-0,3-13
Net Pass Yards,273,303
Total Yards,444,462
Fumbles-Lost,2-0,4-3
Turnovers,0,5
Penalties-Yards,6-45,9-75
Third Down Conv.,4-14,1-8
Fourth Down Conv.,2-4,0-1
Time of Possession,35:37,24:23
