Quarter,Time,Tm,Detail,BUF,KAN
1.0,11:15,Chiefs,Jamaal Charles 36 yard pass from Tyler Thigpen (Connor Barth kick),0,7
,6:42,Bills,Marshawn Lynch 1 yard rush (Rian Lindell kick),7,7
2.0,14:58,Bills,Rian Lindell 21 yard field goal,10,7
,13:15,Chiefs,Tony Gonzalez 2 yard pass from Tyler Thigpen (Connor Barth kick),10,14
,7:53,Bills,Rian Lindell 39 yard field goal,13,14
,7:11,Bills,Leodis McKelvin 64 yard interception return (Rian Lindell kick),20,14
,3:22,Chiefs,Connor Barth 45 yard field goal,20,17
,1:33,Bills,Rian Lindell 34 yard field goal,23,17
,0:04,Bills,Trent Edwards 15 yard rush (Rian Lindell kick),30,17
3.0,12:32,Bills,Trent Edwards 5 yard rush (Rian Lindell kick),37,17
,10:05,Bills,Rian Lindell 38 yard field goal,40,17
,7:53,Chiefs,Mark Bradley 45 yard pass from Tyler Thigpen (Connor Barth kick),40,24
,2:58,Bills,Josh Reed 8 yard pass from Trent Edwards (Rian Lindell kick),47,24
4.0,9:18,Bills,Derek Schouman 17 yard pass from Trent Edwards (Rian Lindell kick),54,24
,2:23,Chiefs,Dwayne Bowe 3 yard pass from Quinn Gray (Connor Barth kick),54,31
