Player,Pos
Trent Edwards,QB
Marshawn Lynch,RB
Corey McIntyre,FB
Josh Reed,WR
Lee Evans,WR
Derek Fine,TE
Jason Peters,LT
Derrick Dockery,LG
Duke Preston,C
Brad Butler,RG
Langston Walker,RT
Chris Kelsay,LDE
Marcus Stroud,LDT
Kyle Williams,RDT
Ryan Denney,RDE
Keith Ellison,LOLB
Paul Posluszny,MLB
Kawika Mitchell,ROLB
Terrence McGee,LCB
Leodis McKelvin,RCB
George Wilson,SS
Ko Simpson,FS
