Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 68 yards, returned by Maurice Leggett for 18 yards (tackle by Blake Costanzo). Maurice Leggett fumbles (forced by Blake Costanzo), recovered by Herbert Taylor at KAN-20",0.000,0.280
1,14:51,1,10,KAN 20,0,0,Tyler Thigpen pass complete short middle to Larry Johnson for 8 yards (tackle by Leodis McKelvin),0.280,0.810
1,14:07,2,2,KAN 28,0,0,Tyler Thigpen pass complete short left to Tony Gonzalez for 4 yards (tackle by Paul Posluszny),0.810,1.070
1,13:40,1,10,KAN 32,0,0,Tyler Thigpen pass incomplete short right intended for Tony Gonzalez (defended by Keith Ellison),1.070,0.530
1,13:35,2,10,KAN 32,0,0,Tyler Thigpen pass complete deep right to Tony Gonzalez for 19 yards (tackle by George Wilson),0.530,2.320
1,12:53,1,10,BUF 49,0,0,Larry Johnson right tackle for 5 yards (tackle by Ryan Denney),2.320,2.460
1,12:11,2,5,BUF 44,0,0,Tyler Thigpen right end for 8 yards (tackle by Terrence McGee),2.460,3.180
1,11:23,1,10,BUF 36,0,6,"Tyler Thigpen pass complete deep right to Jamaal Charles for 36 yards, touchdown",3.180,7.000
1,11:23,,,BUF 2,0,7,Connor Barth kicks extra point good,0.000,0.000
1,11:15,,,KAN 30,0,7,"Connor Barth kicks off 40 yards, returned by Spencer Johnson for 9 yards (tackle by Oliver Celestin)",0.000,1.530
1,11:15,1,10,BUF 39,0,7,"Penalty on Derrick Dockery: False Start, 5 yards (no play)",1.530,1.200
1,11:10,1,15,BUF 34,0,7,Marshawn Lynch left end for 5 yards (tackle by Tamba Hali),1.200,0.990
1,10:33,2,10,BUF 39,0,7,Trent Edwards pass complete short right to Marshawn Lynch for 13 yards (tackle by Jarrad Page),0.990,2.390
1,10:11,1,10,KAN 48,0,7,Marshawn Lynch right tackle for 11 yards (tackle by Bernard Pollard),2.390,3.120
1,9:29,1,10,KAN 37,0,7,Trent Edwards pass complete short middle to Fred Jackson for 14 yards (tackle by Jason Babin),3.120,4.040
1,8:46,1,10,KAN 23,0,7,Fred Jackson left guard for 15 yards (tackle by Brandon Carr and Jarrad Page),4.040,5.370
1,8:10,1,8,KAN 8,0,7,Marshawn Lynch left guard for 6 yards (tackle by Bernard Pollard),5.370,5.720
1,7:32,2,2,KAN 2,0,7,Marshawn Lynch left tackle for 1 yard (tackle by Jason Babin),5.720,5.170
1,6:50,3,1,KAN 1,0,7,Trent Edwards pass incomplete short left intended for Robert Royal,5.170,3.550
1,6:45,4,1,KAN 1,6,7,"Marshawn Lynch up the middle for 1 yard, touchdown",3.550,7.000
1,6:45,,,KAN 2,7,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 30,,,"Rian Lindell kicks off 67 yards, returned by Jamaal Charles for 5 yards",,
1,6:38,1,10,KAN 8,7,7,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe,-0.380,-0.780
1,6:35,2,10,KAN 8,7,7,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe,-0.780,-1.420
1,6:31,3,10,KAN 8,7,7,Tyler Thigpen sacked by Copeland Bryan for -7 yards,-1.420,-2.490
1,5:56,4,17,KAN 1,7,7,Dustin Colquitt punts 39 yards,-2.490,-2.920
