Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Aaron Elling kicks off 66 yards, returned by Leon Johnson for 33 yards (tackle by Mike Nattiel)",0.000,1.400
1,14:51,1,10,SDG 37,0,0,Doug Flutie pass complete to David Boston for 8 yards (tackle by Ken Irvin),1.400,1.940
1,14:27,2,2,SDG 45,0,0,Tim Dwight left end for 18 yards (tackle by Chris Claiborne and Corey Chavous),1.940,3.120
1,13:48,1,10,MIN 37,0,0,LaDainian Tomlinson left end for 2 yards (tackle by Ken Irvin),3.120,2.840
1,13:27,2,8,MIN 35,0,0,Doug Flutie pass complete to David Boston for 28 yards (tackle by Ken Irvin),2.840,5.600
1,12:44,1,7,MIN 7,0,0,Doug Flutie pass incomplete intended for David Boston,5.600,4.760
1,12:38,2,7,MIN 7,0,0,Doug Flutie up the middle for 4 yards (tackle by Henri Crockett),4.760,4.720
1,11:47,3,3,MIN 3,0,6,"Doug Flutie pass complete to David Boston for 3 yards, touchdown",4.720,7.000
1,,,,MIN 2,0,7,Steve Christie kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Steve Christie kicks off 57 yards, returned by Keenan Howry for 42 yards (tackle by Jesse Chatman)",0.000,2.590
1,11:38,1,10,SDG 45,0,7,"Daunte Culpepper pass complete to Randy Moss for 26 yards (tackle by Sammy Davis). Penalty on Bryant McKinnie: Offensive Holding, 10 yards (no play)",2.590,1.930
1,11:17,1,20,MIN 45,0,7,Michael Bennett up the middle for 3 yards (tackle by Ben Leber and Kwamie Lassiter),1.930,1.100
1,10:45,2,17,MIN 48,0,7,Moe Williams up the middle for 6 yards (tackle by Jason Fisk),1.100,1.220
1,10:05,3,11,SDG 46,0,7,Daunte Culpepper pass incomplete intended for Kelly Campbell,1.220,0.200
1,9:57,4,11,SDG 46,0,7,"Eddie Johnson punts 31 yards, fair catch by Tim Dwight",0.200,0.220
1,9:50,1,10,SDG 15,0,7,"Penalty on Damion McIntosh: False Start, 5 yards (no play)",-0.220,-0.570
1,9:50,1,15,SDG 10,0,7,Tim Dwight left end for 8 yards (tackle by Brian Russell and Ken Irvin),-0.570,-0.280
1,9:13,2,7,SDG 18,0,7,Doug Flutie pass complete to LaDainian Tomlinson for 3 yards (tackle by Greg Biekert),-0.280,-0.630
1,8:33,3,4,SDG 21,0,7,Doug Flutie pass complete to Tim Dwight for 6 yards (tackle by Denard Walker),-0.630,0.740
1,8:08,1,10,SDG 27,0,7,Doug Flutie pass incomplete intended for David Boston,0.740,0.200
1,8:03,2,10,SDG 27,0,13,"LaDainian Tomlinson left end for 73 yards, touchdown",0.200,7.000
1,,,,MIN 2,0,14,Steve Christie kicks extra point good,0.000,0.000
1,,,,SDG 30,0,14,"Steve Christie kicks off 50 yards, returned by E.J. Henderson for no gain",0.000,0.280
1,7:42,1,10,MIN 20,0,14,Daunte Culpepper pass complete to Randy Moss for 9 yards (tackle by Kwamie Lassiter),0.280,0.950
1,7:17,2,1,MIN 29,0,14,Moe Williams left tackle for 12 yards (tackle by Jerry Wilson and Marcellus Wiley),0.950,1.660
1,6:37,1,10,MIN 41,0,14,Moe Williams left tackle for 12 yards (tackle by Sammy Davis),1.660,2.460
1,5:59,1,10,SDG 47,0,14,Daunte Culpepper pass complete to Jim Kleinsasser for 13 yards (tackle by Donnie Edwards),2.460,3.310
1,5:18,1,10,SDG 34,0,14,Daunte Culpepper pass complete to Michael Bennett for 5 yards (tackle by Jerry Wilson),3.310,3.450
1,4:50,2,5,SDG 29,0,14,Michael Bennett right tackle for no gain (tackle by Jamal Williams),3.450,2.740
1,4:12,3,5,SDG 29,0,14,Daunte Culpepper pass complete to Jim Kleinsasser for 15 yards (tackle by Raylee Johnson),2.740,4.650
1,3:32,1,10,SDG 14,0,14,Moe Williams up the middle for 9 yards (tackle by Quentin Jammer),4.650,5.670
1,2:52,2,1,SDG 5,0,14,Moe Williams right end for 1 yard (tackle by Zeke Moreno),5.670,6.280
1,2:13,1,4,SDG 4,6,14,"Daunte Culpepper pass complete to Randy Moss for 4 yards, touchdown",6.280,7.000
1,,,,SDG 2,7,14,Aaron Elling kicks extra point good,0.000,0.000
1,,,,MIN 30,7,14,"Aaron Elling kicks off 68 yards, returned by Leon Johnson for 30 yards (tackle by Ken Irvin)",0.000,1.070
1,2:01,1,10,SDG 32,7,14,Doug Flutie pass complete to LaDainian Tomlinson for 23 yards (tackle by Brian Russell),1.070,2.590
1,1:40,1,10,MIN 45,7,14,Reche Caldwell right end for 5 yards (tackle by Chris Hovan),2.590,2.720
1,1:02,2,5,MIN 40,7,14,Doug Flutie pass complete to Justin Peelle for 6 yards (tackle by Chris Claiborne),2.720,3.310
1,0:34,1,10,MIN 34,7,14,Doug Flutie pass complete to David Boston for 7 yards (tackle by Brian Williams),3.310,3.720
Quarter,Time,Down,ToGo,Location,MIN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,MIN 27,7,14,LaDainian Tomlinson up the middle for no gain (tackle by Greg Biekert),3.720,3.010
2,14:19,3,3,MIN 27,7,14,Doug Flutie pass complete to LaDainian Tomlinson for 7 yards (tackle by Chris Claiborne),3.010,4.240
2,13:50,1,10,MIN 20,7,14,"Doug Flutie pass incomplete intended for Reche Caldwell. Penalty on SDG: Offensive Pass Interference, 10 yards, Penalty on SDG: Ineligible Downfield Pass (Declined) (no play)",4.240,3.580
2,13:44,1,20,MIN 30,7,14,Doug Flutie pass incomplete intended for Antonio Gates (defended by Chris Hovan),3.580,2.340
2,13:39,2,20,MIN 30,7,14,Doug Flutie pass complete to David Boston for 17 yards (tackle by Greg Biekert),2.340,4.100
2,13:03,3,3,MIN 13,7,14,Doug Flutie pass complete to Tim Dwight for 10 yards (tackle by Ken Irvin),4.100,6.510
2,12:21,1,3,MIN 3,7,14,LaDainian Tomlinson left end for no gain (tackle by Corey Chavous),6.510,5.530
2,11:48,2,3,MIN 3,7,14,Doug Flutie pass incomplete intended for David Boston (defended by Brian Williams),5.530,4.720
2,11:44,3,3,MIN 3,7,20,"Doug Flutie up the middle for 3 yards, touchdown",4.720,7.000
2,,,,MIN 2,7,21,Steve Christie kicks extra point good,0.000,0.000
2,,,,SDG 30,7,21,"Steve Christie kicks off 60 yards, returned by Sean Berton for 7 yards (tackle by Carlos Polk)",0.000,-0.060
2,11:29,1,10,MIN 17,7,21,Moe Williams up the middle for 3 yards (tackle by Donnie Edwards and Jamal Williams),-0.060,-0.060
2,10:51,2,7,MIN 20,7,21,Daunte Culpepper pass complete to Moe Williams for 9 yards (tackle by Zeke Moreno),-0.060,0.870
2,10:26,1,10,MIN 29,7,21,Daunte Culpepper pass complete to Jim Kleinsasser for 8 yards (tackle by Terrence Kiel),0.870,1.410
2,9:50,2,2,MIN 37,7,21,Moe Williams up the middle for 4 yards (tackle by Donnie Edwards),1.410,1.660
2,9:13,1,10,MIN 41,7,21,Daunte Culpepper pass complete to Randy Moss for 7 yards (tackle by Sammy Davis),1.660,2.070
2,8:44,2,3,MIN 48,7,21,"Daunte Culpepper left end for 1 yard (tackle by Ben Leber). Penalty on Matt Birk: Offensive Holding, 10 yards (no play)",2.070,0.720
2,8:19,2,13,MIN 38,7,21,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",0.720,0.040
2,7:58,2,18,MIN 33,7,21,Daunte Culpepper pass complete to Moe Williams for 10 yards (tackle by Zeke Moreno),0.040,0.700
2,7:15,3,8,MIN 43,7,21,Daunte Culpepper pass complete to Randy Moss for 19 yards (tackle by Drayton Florence),0.700,3.050
2,6:35,1,10,SDG 38,7,21,Michael Bennett left end for 12 yards (tackle by Kwamie Lassiter and Sammy Davis),3.050,3.840
2,5:52,1,10,SDG 26,7,21,"Daunte Culpepper pass complete to Randy Moss for 14 yards (tackle by Jerry Wilson). Penalty on Jim Kleinsasser: Offensive Holding, 10 yards (no play)",3.840,3.180
2,5:19,1,20,SDG 36,7,21,Daunte Culpepper pass incomplete intended for Jim Kleinsasser (defended by Jerry Wilson),3.180,1.950
