Unnamed: 0,MIN,SDG
First Downs,27,26
Rush-Yds-TDs,23-110-0,26-211-4
Cmp-Att-Yd-TD-INT,32-44-370-4-1,21-29-248-2-0
Sacked-Yards,3-20,2-1
Net Pass Yards,350,247
Total Yards,460,458
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,10-107,6-49
Third Down Conv.,10-14,6-9
Fourth Down Conv.,1-1,0-0
Time of Possession,33:08,26:52
