Unnamed: 0,CLE,CIN
First Downs,22,14
Rush-Yds-TDs,35-140-0,22-102-1
Cmp-Att-Yd-TD-INT,22-36-242-3-1,17-30-258-1-0
Sacked-Yards,0-0,1-10
Net Pass Yards,242,248
Total Yards,382,350
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,4-15,4-32
Third Down Conv.,11-18,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,36:22,23:38
