Unnamed: 0,CAR,BUF
First Downs,19,14
Rush-Yds-TDs,33-113-0,23-55-0
Cmp-Att-Yd-TD-INT,20-27-191-1-0,16-29-197-0-1
Sacked-Yards,1-9,5-36
Net Pass Yards,182,161
Total Yards,295,216
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,4-20,4-31
Third Down Conv.,9-14,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,35:44,24:16
