Unnamed: 0,JAX,BAL
First Downs,20,9
Rush-Yds-TDs,33-134-0,30-103-1
Cmp-Att-Yd-TD-INT,22-34-208-1-1,10-23-156-1-1
Sacked-Yards,4-22,0-0
Net Pass Yards,186,156
Total Yards,320,259
Fumbles-Lost,4-2,1-1
Turnovers,3,2
Penalties-Yards,7-52,7-40
Third Down Conv.,3-14,6-15
Fourth Down Conv.,1-1,0-0
Time of Possession,34:53,25:07
