Quarter,Time,Tm,Detail,OAK,DEN
1.0,9:03,Raiders,Sebastian Janikowski 47 yard field goal,3,0
,2:57,Raiders,Rod Woodson 98 yard interception return (Sebastian Janikowski kick),10,0
2.0,12:09,Raiders,Sebastian Janikowski 32 yard field goal,13,0
,5:56,Broncos,Clinton Portis 1 yard rush (Jason Elam kick),13,7
,1:22,Raiders,Jerry Rice 6 yard pass from Rich Gannon (Jerry Porter pass from Rich Gannon),21,7
3.0,4:06,Raiders,Jerry Porter 22 yard pass from Rich Gannon (Sebastian Janikowski kick failed),27,7
4.0,13:24,Broncos,Jason Elam 27 yard field goal,27,10
,10:41,Raiders,Jerry Rice 34 yard pass from Rich Gannon (Sebastian Janikowski kick),34,10
