Unnamed: 0,OAK,DEN
First Downs,20,27
Rush-Yds-TDs,14-27-0,22-77-1
Cmp-Att-Yd-TD-INT,34-38-352-3-0,34-47-293-0-1
Sacked-Yards,1-5,4-28
Net Pass Yards,347,265
Total Yards,374,342
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-35,3-15
Third Down Conv.,6-10,5-12
Fourth Down Conv.,0-0,1-2
Time of Possession,28:19,31:41
